product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
20406,cama_mesa_banho,58,381,2,1550,43,8,33
20659,cama_mesa_banho,58,223,1,2700,45,13,35
16473,telefonia,63,1930,9,200,19,5,11
4067,malas_acessorios,51,244,1,800,38,8,28
18228,perfumaria,56,733,3,377,18,13,15
14644,esporte_lazer,52,1049,3,400,45,22,43
25466,sinalizacao_e_seguranca,51,1212,1,450,16,5,16
31107,climatizacao,30,547,1,2000,32,51,16
11170,fashion_bolsas_e_acessorios,53,1398,1,300,16,2,11
24891,moveis_decoracao,34,160,1,250,26,14,14
32050,esporte_lazer,57,245,2,1950,60,15,15
22072,telefonia,50,1254,2,500,16,15,11
27969,NA,NA,NA,NA,300,16,7,20
26234,artes,59,1431,6,7900,70,15,70
22236,cama_mesa_banho,53,261,2,1800,41,9,34
3995,ferramentas_jardim,60,884,1,900,37,3,23
22138,fashion_bolsas_e_acessorios,52,68,7,200,16,2,11
12522,bebes,30,410,4,4500,80,70,28
10639,consoles_games,48,303,3,250,21,7,15
24045,utilidades_domesticas,59,943,1,550,16,25,12
13131,malas_acessorios,49,540,4,1100,39,12,28
31203,cama_mesa_banho,53,222,1,3600,40,20,40
14601,consoles_games,56,235,1,100,16,3,11
50,esporte_lazer,50,329,2,150,16,18,16
11711,esporte_lazer,55,144,1,3775,18,13,16
24261,cool_stuff,59,797,2,1400,25,20,20
5787,consoles_games,53,439,5,900,22,7,18
17524,relogios_presentes,60,438,2,250,20,12,20
9403,brinquedos,55,852,1,350,21,9,16
11183,NA,NA,NA,NA,200,20,20,20
7935,bebes,39,805,3,1800,18,32,27
26,moveis_sala,52,420,2,5050,50,8,50
18194,automotivo,58,386,1,27100,50,50,50
11477,eletrodomesticos,50,273,1,1500,65,8,38
28956,relogios_presentes,43,572,2,500,16,11,11
28555,cama_mesa_banho,52,700,2,350,16,10,16
32442,automotivo,47,1548,3,500,16,12,17
23226,esporte_lazer,55,448,1,1000,20,20,20
9196,NA,NA,NA,NA,18500,41,30,41
28294,brinquedos,51,410,2,300,24,11,24
10429,beleza_saude,59,257,1,250,16,2,20
17612,beleza_saude,51,863,1,10700,40,40,40
14780,utilidades_domesticas,29,290,1,1700,32,21,22
8815,ferramentas_jardim,31,680,1,7700,39,28,25
4254,esporte_lazer,57,785,4,5200,20,60,35
6269,telefonia,51,244,1,125,17,10,14
29903,moveis_escritorio,50,2220,1,15700,58,28,58
20776,relogios_presentes,53,599,2,350,16,11,11
16531,esporte_lazer,57,649,1,213,16,10,13
2866,fashion_bolsas_e_acessorios,30,401,3,150,16,11,11
3848,automotivo,35,907,3,18200,56,15,15
32080,utilidades_domesticas,38,390,1,850,18,21,15
30044,casa_construcao,55,918,6,1050,16,20,16
2995,fashion_bolsas_e_acessorios,48,382,5,200,16,9,11
25608,utilidades_domesticas,32,42,1,300,16,15,11
28323,informatica_acessorios,47,764,1,200,23,9,13
30532,esporte_lazer,52,406,1,800,20,25,25
27379,papelaria,50,198,2,200,24,7,14
11603,esporte_lazer,50,853,1,698,46,10,14
8910,telefonia,59,776,6,350,17,4,12
18079,livros_interesse_geral,50,2913,3,1000,24,5,17
18347,informatica_acessorios,53,585,1,783,21,13,28
16868,perfumaria,48,1063,2,600,20,20,20
3344,brinquedos,47,181,1,11650,55,30,30
28787,construcao_ferramentas_ferramentas,42,369,1,400,16,2,11
13106,brinquedos,25,274,1,3050,40,10,40
21007,telefonia,50,744,1,100,16,3,11
9918,ferramentas_jardim,44,2395,1,16500,40,25,26
21543,utilidades_domesticas,59,470,2,750,34,14,24
13843,fashion_underwear_e_moda_praia,39,422,1,250,36,4,20
14095,malas_acessorios,59,413,3,2300,84,14,20
15259,eletronicos,37,374,1,1350,33,12,26
19885,utilidades_domesticas,22,388,3,530,17,20,20
8729,automotivo,59,162,1,1300,20,20,20
20613,fashion_calcados,59,605,5,4000,57,14,36
4557,esporte_lazer,52,234,4,8150,20,20,20
8779,construcao_ferramentas_construcao,57,272,1,2200,16,2,11
22939,beleza_saude,55,1029,1,1150,20,25,20
12197,relogios_presentes,60,312,4,200,16,2,11
11103,moveis_decoracao,60,1068,3,400,16,20,16
13556,moveis_decoracao,63,244,4,600,29,12,23
12401,NA,NA,NA,NA,300,35,7,12
21251,cama_mesa_banho,48,645,1,1200,16,10,16
14500,cool_stuff,50,268,5,10664,61,63,35
15008,utilidades_domesticas,43,2148,2,1800,50,12,36
8723,esporte_lazer,47,154,3,500,16,2,11
9307,papelaria,48,501,1,258,19,12,19
8897,papelaria,59,209,1,1400,16,44,37
5280,brinquedos,59,640,1,400,35,7,35
9716,climatizacao,58,655,5,1300,30,10,30
25261,cama_mesa_banho,55,315,2,1000,30,10,25
3612,pet_shop,52,1290,3,1300,30,10,18
538,brinquedos,58,443,2,3305,38,36,19
17968,bebes,55,224,2,6000,75,15,50
4508,informatica_acessorios,50,281,4,300,35,5,25
31521,cama_mesa_banho,57,74,1,250,20,2,15
24136,perfumaria,45,1003,2,400,18,11,11
8310,eletronicos,32,1274,1,250,16,10,30
4503,brinquedos,57,1532,2,1250,29,19,22
31715,fashion_roupa_masculina,47,1026,2,950,40,6,40
25479,pet_shop,54,261,6,2000,30,34,17
14280,bebes,56,1395,7,13575,71,81,44
28927,beleza_saude,60,537,1,667,17,16,16
16674,relogios_presentes,55,457,2,267,17,11,12
20142,cama_mesa_banho,60,609,2,1750,45,20,40
28557,beleza_saude,52,1113,1,150,16,12,11
30383,brinquedos,48,135,1,10550,65,7,45
4294,utilidades_domesticas,57,1298,1,1725,100,35,16
15747,malas_acessorios,43,215,1,700,45,10,31
8432,esporte_lazer,29,1318,1,400,34,16,16
32943,papelaria,23,146,3,300,30,10,20
4432,casa_construcao,59,1582,1,5850,60,25,25
27851,relogios_presentes,47,687,1,267,17,11,13
27066,cama_mesa_banho,53,155,2,1500,39,12,25
10218,cool_stuff,42,727,1,400,24,16,14
11511,esporte_lazer,54,3830,1,1300,31,32,31
10810,utilidades_domesticas,58,172,1,400,16,10,14
22404,artes,32,195,1,150,25,2,19
25648,beleza_saude,40,654,1,650,25,13,14
14765,consoles_games,44,421,1,706,32,8,38
11434,fashion_bolsas_e_acessorios,59,251,1,300,25,10,25
10986,cama_mesa_banho,41,242,1,4850,75,5,50
30451,automotivo,51,1741,1,825,20,24,15
20378,informatica_acessorios,31,432,1,600,46,3,15
31474,esporte_lazer,53,527,2,700,23,9,11
10385,moveis_decoracao,51,1442,1,300,40,10,27
15936,utilidades_domesticas,55,471,2,1270,17,14,17
8308,construcao_ferramentas_ferramentas,40,338,1,450,20,2,11
28993,NA,NA,NA,NA,2200,16,2,11
28455,eletrodomesticos,56,173,1,150,18,8,13
23448,ferramentas_jardim,49,192,1,200,16,3,11
17165,moveis_cozinha_area_de_servico_jantar_e_jardim,50,859,1,10893,33,88,44
18977,utilidades_domesticas,53,524,1,1800,25,7,20
3679,brinquedos,29,566,2,1220,20,33,22
13765,beleza_saude,53,1368,6,360,30,19,22
1861,eletronicos,52,424,1,175,22,11,15
6031,pet_shop,50,852,1,1900,50,13,70
27276,esporte_lazer,37,621,5,250,20,20,20
18716,bebes,58,1261,3,6950,85,11,50
22780,utilidades_domesticas,57,1094,1,1100,55,5,40
6276,bebes,64,882,5,300,17,7,24
4206,moveis_escritorio,41,2261,1,16500,58,28,58
1285,malas_acessorios,28,453,1,300,16,23,19
19540,eletronicos,25,813,1,1836,61,6,24
20765,beleza_saude,59,822,1,175,18,22,16
29208,brinquedos,53,579,1,675,22,24,21
14728,esporte_lazer,58,568,4,200,26,5,20
5002,industria_comercio_e_negocios,58,1058,1,1200,30,20,30
20784,informatica_acessorios,32,1074,2,200,39,2,30
7747,moveis_escritorio,46,1193,2,16100,63,61,24
30448,telefonia,51,443,1,117,19,4,12
13880,telefonia_fixa,27,1217,1,455,36,18,27
4726,cama_mesa_banho,55,613,1,550,16,10,16
12071,fashion_calcados,54,404,4,750,22,12,33
15575,cool_stuff,43,447,2,586,18,11,13
18682,construcao_ferramentas_iluminacao,57,919,6,540,16,27,16
4078,esporte_lazer,42,2819,1,3700,30,20,20
6820,utilidades_domesticas,57,623,4,3150,30,17,30
10007,cama_mesa_banho,57,296,1,2100,53,27,40
26018,construcao_ferramentas_seguranca,51,1006,3,314,20,19,18
7882,cama_mesa_banho,49,153,1,550,23,15,23
19632,automotivo,55,978,1,13825,70,35,49
31270,cama_mesa_banho,42,431,1,850,40,6,50
12684,bebes,19,200,1,250,21,4,13
2886,brinquedos,55,1475,1,400,20,20,20
26465,perfumaria,48,606,2,400,16,20,15
6920,consoles_games,25,211,1,200,16,2,16
7260,automotivo,60,1023,5,250,20,20,20
27677,informatica_acessorios,53,813,4,1950,17,11,12
29442,moveis_decoracao,49,607,1,300,35,10,25
23441,relogios_presentes,54,364,1,1050,30,45,11
27021,automotivo,53,1373,4,400,16,7,11
28712,instrumentos_musicais,40,234,1,1000,56,9,22
25490,esporte_lazer,39,772,1,150,16,16,11
26952,beleza_saude,60,876,1,700,16,16,16
9832,consoles_games,47,358,3,450,17,7,17
21970,beleza_saude,29,556,1,2000,30,12,16
31859,construcao_ferramentas_construcao,57,954,4,21400,20,20,20
7520,NA,NA,NA,NA,300,16,7,11
6064,informatica_acessorios,52,2515,1,188,20,16,15
15162,moveis_decoracao,56,646,1,300,16,30,20
31095,fashion_bolsas_e_acessorios,38,487,2,13600,26,60,40
3835,moveis_decoracao,50,1342,3,800,25,25,25
15742,NA,NA,NA,NA,300,18,8,14
21186,moveis_decoracao,49,600,2,1400,65,12,12
27136,relogios_presentes,50,295,1,650,13,11,12
32753,construcao_ferramentas_construcao,37,2457,1,600,26,17,17
8025,moveis_decoracao,58,1969,2,3000,69,11,11
17775,malas_acessorios,45,224,1,950,46,10,33
5130,moveis_decoracao,51,582,2,17400,42,35,42
30789,fashion_roupa_masculina,36,940,2,300,16,2,11
11632,informatica_acessorios,52,1224,2,700,20,20,20
22180,pet_shop,56,1545,2,625,21,16,17
4276,ferramentas_jardim,44,586,3,3250,32,14,22
29980,fashion_calcados,57,404,2,1500,22,12,33
10090,cama_mesa_banho,54,228,1,250,32,3,23
7514,ferramentas_jardim,41,198,1,425,31,6,12
3207,climatizacao,56,1161,1,150,20,8,13
7957,moveis_decoracao,56,2028,3,350,68,8,13
12211,fashion_calcados,44,284,12,300,29,7,16
24066,telefonia,49,276,12,100,19,3,11
19746,automotivo,55,1658,3,550,16,21,18
17763,automotivo,59,1250,1,250,16,27,15
32634,automotivo,60,1541,1,1000,26,40,20
23090,utilidades_domesticas,55,998,3,14850,35,102,35
2280,bebes,46,726,3,850,42,25,15
29741,consoles_games,56,3354,4,1850,28,14,19
776,fashion_bolsas_e_acessorios,54,1399,1,300,16,2,11
18184,telefonia,61,212,1,200,19,4,11
2211,beleza_saude,46,803,1,150,22,3,15
22697,esporte_lazer,55,1392,1,900,16,16,16
29877,ferramentas_jardim,52,497,1,1900,44,19,19
26549,cama_mesa_banho,50,171,1,1450,45,10,15
24727,livros_tecnicos,54,1162,1,1100,29,3,21
9015,esporte_lazer,54,1241,5,200,16,11,11
30962,esporte_lazer,43,1440,1,12600,20,10,20
24204,beleza_saude,21,1000,1,1450,25,25,16
13988,cool_stuff,49,733,3,800,42,25,15
28402,perfumaria,50,749,1,1300,22,14,14
29890,beleza_saude,45,802,1,150,22,3,15
7830,eletronicos,40,549,1,200,20,20,20
24247,ferramentas_jardim,60,1177,3,11450,23,43,35
1755,moveis_decoracao,54,220,2,2200,20,20,20
29587,eletrodomesticos_2,38,2030,2,13200,66,19,67
30447,fashion_bolsas_e_acessorios,59,119,3,200,16,2,11
25239,consoles_games,53,310,1,150,19,11,11
30983,instrumentos_musicais,51,439,3,3350,30,30,30
28733,cama_mesa_banho,64,702,1,2200,42,11,36
26891,moveis_escritorio,48,489,2,30000,50,50,30
10257,bebes,59,255,2,500,30,8,35
29006,cama_mesa_banho,51,487,1,1800,45,10,34
15939,NA,NA,NA,NA,200,22,14,14
9898,artigos_de_festas,58,134,1,1300,70,11,11
12915,fashion_bolsas_e_acessorios,51,372,2,150,16,9,11
20913,malas_acessorios,39,278,1,700,19,48,35
11057,malas_acessorios,32,1064,5,2900,40,55,30
32100,fashion_bolsas_e_acessorios,34,426,4,200,16,9,11
8000,beleza_saude,45,1886,1,300,16,18,16
19851,papelaria,41,552,2,200,23,7,15
25109,cama_mesa_banho,55,166,1,700,49,4,50
16455,telefonia,52,819,4,200,17,13,16
31254,climatizacao,51,2959,4,7800,105,10,40
10413,papelaria,53,500,2,550,16,4,11
9035,relogios_presentes,60,460,4,200,16,2,11
8164,cama_mesa_banho,41,208,2,1000,30,7,24
15399,papelaria,52,219,1,1000,26,8,33
15360,construcao_ferramentas_iluminacao,49,527,4,1450,60,5,30
29629,moveis_escritorio,41,1071,1,5850,45,55,16
21442,bebes,59,348,2,8300,45,25,45
20809,esporte_lazer,28,663,1,1800,28,12,18
3985,esporte_lazer,50,1212,5,900,26,6,13
22350,esporte_lazer,57,1156,1,415,19,19,19
20796,telefonia,51,1015,1,103,21,6,14
4581,automotivo,42,878,2,500,20,8,14
13872,papelaria,62,621,1,600,16,6,11
25627,informatica_acessorios,59,1238,5,4750,18,22,30
31080,relogios_presentes,37,610,1,263,18,15,16
31280,bebes,52,446,1,50,16,2,11
4164,perfumaria,46,499,1,200,16,22,11
23829,cama_mesa_banho,44,331,1,360,36,6,26
30826,cool_stuff,47,1392,1,150,16,7,12
15372,esporte_lazer,61,211,4,1100,32,5,30
29144,fashion_bolsas_e_acessorios,60,1118,6,2250,22,15,20
493,automotivo,59,633,5,1475,68,9,35
2347,esporte_lazer,29,347,1,1600,100,7,11
17420,beleza_saude,51,1918,1,1650,25,30,20
30490,brinquedos,59,3492,3,650,35,10,15
24013,utilidades_domesticas,22,663,1,900,21,34,34
22564,telefonia,42,356,4,75,19,3,11
894,ferramentas_jardim,60,481,4,600,19,7,14
32251,moveis_decoracao,47,470,3,400,35,6,15
1505,utilidades_domesticas,45,561,2,553,18,9,15
22201,livros_interesse_geral,42,1109,1,900,18,25,16
6678,utilidades_domesticas,37,261,2,250,25,25,25
19167,moveis_escritorio,38,2088,1,14900,58,28,58
5349,cama_mesa_banho,52,701,1,1100,16,10,16
31810,moveis_decoracao,56,945,2,2050,30,22,18
4894,moveis_decoracao,58,1953,1,850,69,11,11
9913,cama_mesa_banho,58,744,1,350,16,10,16
15524,ferramentas_jardim,45,616,3,1400,20,20,30
24970,informatica_acessorios,60,789,4,200,20,20,20
17922,informatica_acessorios,18,389,2,617,17,14,17
15662,utilidades_domesticas,21,718,1,2600,16,41,41
30833,bebidas,57,497,1,200,20,9,14
25834,cama_mesa_banho,44,305,1,2000,49,16,39
13921,beleza_saude,42,167,2,266,20,8,18
18905,telefonia,54,409,1,200,19,4,11
1245,bebes,52,1659,1,300,68,7,13
14646,pet_shop,59,140,1,300,16,16,16
15412,relogios_presentes,54,182,1,200,16,2,20
28903,eletroportateis,58,613,1,1300,20,16,20
2807,esporte_lazer,50,1530,4,482,18,11,16
25396,cama_mesa_banho,54,223,1,550,16,10,16
6147,beleza_saude,48,762,1,270,16,16,15
21096,telefonia,60,818,6,300,17,4,12
1744,market_place,50,257,3,2150,40,25,30
4310,automotivo,58,894,1,3300,35,20,20
5389,perfumaria,45,416,1,200,16,16,16
25438,esporte_lazer,41,128,1,200,21,9,13
6847,perfumaria,40,1176,1,514,18,12,15
20700,casa_construcao,37,426,2,3100,38,28,28
836,utilidades_domesticas,42,395,1,1200,27,18,23
21467,esporte_lazer,56,813,2,250,16,10,16
32759,brinquedos,35,537,2,7400,45,29,53
23232,la_cuisine,57,232,1,7600,55,15,55
21612,esporte_lazer,50,844,1,875,40,26,20
12913,moveis_decoracao,58,1047,3,700,35,7,27
6023,moveis_escritorio,58,869,2,900,17,10,15
12679,esporte_lazer,28,733,6,700,49,12,27
22870,cama_mesa_banho,53,628,2,1100,16,10,16
18935,cool_stuff,34,443,7,1150,28,10,25
31972,cool_stuff,53,304,1,900,25,10,25
12750,NA,NA,NA,NA,1400,25,25,25
11107,livros_tecnicos,60,1265,1,2050,29,5,21
16346,beleza_saude,57,1571,1,2150,28,32,11
146,beleza_saude,58,1690,4,490,30,5,25
23497,brinquedos,59,1272,5,1000,30,13,30
29790,informatica_acessorios,57,991,4,200,16,4,14
22411,utilidades_domesticas,31,580,2,500,19,13,20
30001,cama_mesa_banho,50,208,1,500,16,10,16
7620,NA,NA,NA,NA,4300,30,10,48
32861,perfumaria,46,483,1,1000,20,14,13
2980,automotivo,60,651,5,4200,78,4,47
15420,perfumaria,60,773,1,350,16,11,11
22030,telefonia,43,533,2,125,19,3,11
22895,telefonia,46,660,2,100,19,3,11
11853,utilidades_domesticas,60,1206,4,4100,51,31,31
26611,eletronicos,56,505,2,200,20,20,20
9936,consoles_games,39,319,4,300,23,3,11
9369,utilidades_domesticas,55,871,7,8400,50,28,31
16288,utilidades_domesticas,60,314,1,1550,46,10,35
18537,utilidades_domesticas,17,395,1,600,17,17,18
5625,fashion_bolsas_e_acessorios,56,1410,1,200,16,2,20
22190,automotivo,57,1631,3,500,16,21,18
13161,construcao_ferramentas_ferramentas,50,289,1,1250,22,17,20
21116,informatica_acessorios,52,260,1,667,27,19,20
20956,cama_mesa_banho,48,120,1,300,40,4,30
31088,perfumaria,52,365,1,400,18,18,12
1045,esporte_lazer,38,256,3,450,25,25,25
18410,automotivo,41,1510,1,2800,16,2,11
7533,moveis_decoracao,60,438,1,250,20,6,11
14588,moveis_decoracao,51,535,1,250,35,5,25
31400,pet_shop,50,365,3,300,24,12,12
24251,NA,NA,NA,NA,150,16,2,11
29317,moveis_decoracao,28,196,2,1000,35,25,25
32169,moveis_decoracao,29,764,1,6267,36,40,36
11552,esporte_lazer,46,254,1,2653,53,15,36
31021,moveis_decoracao,58,2130,2,3000,69,11,11
24696,automotivo,54,1636,1,8500,18,29,13
5870,esporte_lazer,43,877,1,2120,26,25,25
4295,eletroportateis,52,640,3,750,30,30,30
17698,beleza_saude,40,684,2,200,16,16,12
7785,cama_mesa_banho,56,198,1,1650,35,20,30
9350,informatica_acessorios,53,192,1,900,26,13,21
19413,utilidades_domesticas,55,783,1,150,32,5,16
28766,utilidades_domesticas,52,202,1,800,31,5,21
12463,cool_stuff,22,683,3,700,20,20,20
3140,bebidas,59,879,1,700,20,20,20
23318,bebes,46,1654,6,10400,100,23,27
20942,instrumentos_musicais,57,374,1,5850,40,9,105
20203,cama_mesa_banho,39,347,1,75,17,12,17
8552,papelaria,55,1349,2,1000,27,10,20
18494,automotivo,45,764,4,1475,32,28,28
722,fashion_bolsas_e_acessorios,52,1383,4,750,36,18,36
17127,papelaria,52,145,10,3600,36,8,15
4233,moveis_decoracao,42,461,3,2200,28,28,38
19168,eletrodomesticos,47,82,1,150,20,13,15
6620,casa_construcao,58,247,1,1750,30,20,30
9443,esporte_lazer,54,1162,4,1300,44,8,30
28512,moveis_sala,24,356,2,7750,33,25,33
26343,utilidades_domesticas,46,616,1,3100,32,26,21
3737,malas_acessorios,21,769,4,1600,55,37,30
27927,relogios_presentes,58,635,2,350,19,13,13
20476,beleza_saude,50,355,1,888,18,17,18
15109,informatica_acessorios,39,160,3,150,16,4,14
16638,utilidades_domesticas,46,193,1,1025,25,23,25
9190,utilidades_domesticas,63,261,2,250,20,9,12
27185,cama_mesa_banho,56,509,4,450,45,15,35
28318,beleza_saude,50,546,1,1000,16,12,13
22959,utilidades_domesticas,26,201,1,400,16,9,12
24120,telefonia,56,367,3,150,21,7,14
7436,informatica_acessorios,45,554,3,400,16,4,16
18128,construcao_ferramentas_jardim,55,749,1,9500,56,30,28
3538,cool_stuff,46,269,1,300,34,5,27
5647,perfumaria,30,138,1,150,22,7,16
31246,cama_mesa_banho,44,421,1,550,30,5,25
9265,automotivo,39,1571,3,1100,37,12,30
32746,beleza_saude,46,841,1,300,19,12,13
13891,NA,NA,NA,NA,21450,70,34,50
14699,beleza_saude,57,1668,1,850,18,10,14
5406,relogios_presentes,42,431,2,500,17,22,17
22533,esporte_lazer,54,675,1,750,26,23,23
2436,beleza_saude,59,3939,6,150,28,13,12
10905,utilidades_domesticas,54,2952,3,30000,76,51,51
10735,sinalizacao_e_seguranca,53,512,1,325,17,17,17
12087,fashion_bolsas_e_acessorios,53,770,1,200,16,2,11
9256,telefonia,50,561,3,200,19,3,12
5453,esporte_lazer,52,473,1,200,20,15,15
25535,NA,NA,NA,NA,1000,16,14,30
29063,fashion_roupa_masculina,32,713,2,800,20,7,20
1547,beleza_saude,48,589,1,700,20,16,17
23903,relogios_presentes,60,394,6,250,16,2,11
3956,automotivo,58,674,3,1800,22,10,18
10219,relogios_presentes,51,393,1,300,19,13,13
15226,livros_tecnicos,42,492,1,450,29,2,17
5669,informatica_acessorios,57,761,1,400,16,21,15
27855,cool_stuff,59,988,1,1635,23,30,17
13736,moveis_decoracao,52,832,1,750,20,35,20
24253,beleza_saude,54,340,1,500,24,20,24
31044,consoles_games,59,434,3,350,20,20,20
717,brinquedos,43,389,1,200,18,13,16
10065,cama_mesa_banho,60,166,3,950,26,15,19
5076,brinquedos,25,119,1,300,16,17,11
17291,beleza_saude,50,1083,2,452,20,11,18
30651,brinquedos,60,919,2,17650,45,50,45
9044,cama_mesa_banho,56,393,2,1100,35,9,35
23174,utilidades_domesticas,58,235,5,5250,35,15,35
8968,brinquedos,31,254,1,200,16,10,11
11870,relogios_presentes,52,654,4,340,47,13,13
9668,beleza_saude,57,677,1,750,16,16,16
2372,cama_mesa_banho,58,430,1,2650,33,10,33
30244,moveis_decoracao,58,477,1,300,35,10,25
13908,utilidades_domesticas,50,1123,1,13600,16,65,60
