Make,Model,Type,Origin,Invoice,Horsepower,MPG_City,MPG_Highway,Wheelbase,Length
Hyundai, Elantra GT 4dr,Sedan,Asia,14207,138,26,34,103,178
Hyundai, Elantra GT 4dr hatch,Sedan,Asia,14207,138,26,34,103,178
Hyundai, Sonata GLS 4dr,Sedan,Asia,17574,170,19,27,106,187
Hyundai, Sonata LX 4dr,Sedan,Asia,18380,170,19,27,106,187
Hyundai, XG350 4dr,Sedan,Asia,22055,194,17,26,108,192
Hyundai, XG350 L 4dr,Sedan,Asia,23486,194,17,26,108,192
Hyundai, Tiburon GT V6 2dr,Sports,Asia,17101,172,19,26,100,173
Infiniti, G35 4dr,Sedan,Asia,26157,260,18,26,112,187
Infiniti, G35 Sport Coupe 2dr,Sedan,Asia,27536,280,18,26,112,182
Infiniti, G35 4dr,Sedan,Asia,29783,260,18,26,112,187
Infiniti, I35 4dr,Sedan,Asia,28320,255,19,26,108,194
Infiniti, M45 4dr,Sedan,Asia,38792,340,17,23,110,197
Infiniti, Q45 Luxury 4dr,Sedan,Asia,47575,340,17,23,113,200
Infiniti, FX35,Wagon,Asia,31756,280,16,22,112,189
Infiniti, FX45,Wagon,Asia,33121,315,15,19,112,189
Isuzu, Ascender S,SUV,Asia,29977,275,15,20,129,208
Isuzu, Rodeo S,SUV,Asia,19261,193,17,21,106,178
Jaguar, X-Type 2.5 4dr,Sedan,Europe,27355,192,18,26,107,184
Jaguar, X-Type 3.0 4dr,Sedan,Europe,30995,227,18,25,107,184
Jaguar, S-Type 3.0 4dr,Sedan,Europe,40004,235,18,26,115,192
Jaguar, S-Type 4.2 4dr,Sedan,Europe,45556,294,18,28,115,192
Jaguar, S-Type R 4dr,Sedan,Europe,57499,390,17,24,115,192
Jaguar, Vanden Plas 4dr,Sedan,Europe,62846,294,18,28,119,200
Jaguar, XJ8 4dr,Sedan,Europe,54656,294,18,28,119,200
Jaguar, XJR 4dr,Sedan,Europe,68306,390,17,24,119,200
Jaguar, XK8 coupe 2dr,Sports,Europe,63756,294,18,26,102,187
Jaguar, XK8 convertible 2dr,Sports,Europe,68306,294,18,26,102,187
Jaguar, XKR coupe 2dr,Sports,Europe,74676,390,16,23,102,187
Jaguar, XKR convertible 2dr,Sports,Europe,79226,390,16,23,102,187
Jeep, Grand Cherokee Laredo,SUV,USA,25686,195,16,21,106,181
Jeep, Liberty Sport,SUV,USA,18973,150,20,24,104,174
Jeep, Wrangler Sahara convertible 2dr,SUV,USA,23275,190,16,19,93,150
Kia, Sorento LX,SUV,Asia,18630,192,16,19,107,180
Kia, Optima LX 4dr,Sedan,Asia,14910,138,23,30,106,186
Kia, Rio 4dr manual,Sedan,Asia,9875,104,26,33,95,167
Kia, Rio 4dr auto,Sedan,Asia,10705,104,25,32,95,167
Kia, Spectra 4dr,Sedan,Asia,11630,124,24,32,101,178
Kia, Spectra GS 4dr hatch,Sedan,Asia,12830,124,24,32,101,178
Kia, Spectra GSX 4dr hatch,Sedan,Asia,13790,124,24,32,101,178
Kia, Optima LX V6 4dr,Sedan,Asia,16850,170,20,27,106,186
Kia, Amanti 4dr,Sedan,Asia,23764,195,17,25,110,196
Kia, Sedona LX,Sedan,Asia,19400,195,16,22,115,194
Kia, Rio Cinco,Wagon,Asia,11410,104,26,33,95,167
Land Rover, Range Rover HSE,SUV,Europe,65807,282,12,16,113,195
Land Rover, Discovery SE,SUV,Europe,35777,217,12,16,100,185
Land Rover, Freelander SE,SUV,Europe,23969,174,18,21,101,175
Lexus, GX 470,SUV,Asia,39838,235,15,19,110,188
Lexus, LX 470,SUV,Asia,56455,235,13,17,112,193
Lexus, RX 330,SUV,Asia,34576,230,18,24,107,186
Lexus, ES 330 4dr,Sedan,Asia,28755,225,20,29,107,191
Lexus, IS 300 4dr manual,Sedan,Asia,27404,215,18,25,105,177
Lexus, IS 300 4dr auto,Sedan,Asia,28611,215,18,24,105,177
Lexus, GS 300 4dr,Sedan,Asia,36196,220,18,25,110,189
Lexus, GS 430 4dr,Sedan,Asia,42232,300,18,23,110,189
Lexus, LS 430 4dr,Sedan,Asia,48583,290,18,25,115,197
Lexus, SC 430 convertible 2dr,Sports,Asia,55063,300,18,23,103,178
Lexus, IS 300 SportCross,Wagon,Asia,28647,215,18,24,105,177
Lincoln, Navigator Luxury,SUV,USA,46360,300,13,18,119,206
Lincoln, Aviator Ultimate,SUV,USA,39443,302,13,18,114,193
Lincoln, LS V6 Luxury 4dr,Sedan,USA,29969,232,20,26,115,194
Lincoln, LS V6 Premium 4dr,Sedan,USA,33929,232,20,26,115,194
Lincoln, LS V8 Sport 4dr,Sedan,USA,36809,280,17,24,115,194
Lincoln, LS V8 Ultimate 4dr,Sedan,USA,39869,280,17,24,115,194
Lincoln, Town Car Signature 4dr,Sedan,USA,38418,239,17,25,118,215
Lincoln, Town Car Ultimate 4dr,Sedan,USA,41217,239,17,25,118,215
Lincoln, Town Car Ultimate L 4dr,Sedan,USA,46208,239,17,25,124,221
MINI, Cooper,Sedan,Europe,15437,115,28,37,97,143
MINI, Cooper S,Sedan,Europe,18137,163,25,34,97,144
Mazda, Tribute DX 2.0,SUV,Asia,19742,130,22,25,103,173
Mazda, Mazda3 i 4dr,Sedan,Asia,14525,148,26,34,104,178
Mazda, Mazda3 s 4dr,Sedan,Asia,15922,160,25,31,104,179
Mazda, Mazda6 i 4dr,Sedan,Asia,17817,160,24,32,105,187
Mazda, MPV ES,Sedan,Asia,26600,200,18,25,112,188
Mazda, MX-5 Miata convertible 2dr,Sports,Asia,20701,142,23,28,89,156
Mazda, MX-5 Miata LS convertible 2dr,Sports,Asia,23285,142,23,28,89,156
Mazda, RX-8 4dr automatic,Sports,Asia,23794,197,18,25,106,174
Mazda, RX-8 4dr manual,Sports,Asia,25179,238,18,24,106,174
Mazda, B2300 SX Regular Cab,Truck,Asia,14070,143,24,29,112,188
Mazda, B4000 SE Cab Plus,Truck,Asia,20482,207,15,19,126,203
Mercedes-Benz, G500,SUV,Europe,71540,292,13,14,112,186
Mercedes-Benz, ML500,SUV,Europe,43268,288,14,17,111,183
Mercedes-Benz, C230 Sport 2dr,Sedan,Europe,24249,189,22,30,107,178
Mercedes-Benz, C320 Sport 2dr,Sedan,Europe,26435,215,19,26,107,178
Mercedes-Benz, C240 4dr,Sedan,Europe,30071,168,20,25,107,178
Mercedes-Benz, C240 4dr,Sedan,Europe,31187,168,19,25,107,178
Mercedes-Benz, C320 Sport 4dr,Sedan,Europe,33456,215,19,26,107,178
Mercedes-Benz, C320 4dr,Sedan,Europe,35046,215,20,26,107,178
Mercedes-Benz, C320 4dr,Sedan,Europe,36162,215,19,27,107,178
Mercedes-Benz, C32 AMG 4dr,Sedan,Europe,48522,349,16,21,107,178
Mercedes-Benz, CL500 2dr,Sedan,Europe,88324,302,16,24,114,196
Mercedes-Benz, CL600 2dr,Sedan,Europe,119600,493,13,19,114,196
Mercedes-Benz, CLK320 coupe 2dr (convertible),Sedan,Europe,41966,215,20,26,107,183
Mercedes-Benz, CLK500 coupe 2dr (convertible),Sedan,Europe,49104,302,17,22,107,183
Mercedes-Benz, E320 4dr,Sedan,Europe,44849,221,19,27,112,190
Mercedes-Benz, E500 4dr,Sedan,Europe,53382,302,16,20,112,190
Mercedes-Benz, S430 4dr,Sedan,Europe,69168,275,18,26,122,203
Mercedes-Benz, S500 4dr,Sedan,Europe,80939,302,16,24,122,203
Mercedes-Benz, SL500 convertible 2dr,Sports,Europe,84325,302,16,23,101,179
Mercedes-Benz, SL55 AMG 2dr,Sports,Europe,113388,493,14,21,101,179
Mercedes-Benz, SL600 convertible 2dr,Sports,Europe,117854,493,13,19,101,179
Mercedes-Benz, SLK230 convertible 2dr,Sports,Europe,37548,192,21,29,95,158
Mercedes-Benz, SLK32 AMG 2dr,Sports,Europe,52289,349,17,22,95,158
Mercedes-Benz, C240,Wagon,Europe,31466,168,19,25,107,179
Mercedes-Benz, E320,Wagon,Europe,47174,221,19,27,112,190
Mercedes-Benz, E500,Wagon,Europe,56474,302,16,24,112,190
Mercury, Mountaineer,SUV,USA,27317,210,16,21,114,190
Mercury, Sable GS 4dr,Sedan,USA,19848,155,20,27,109,200
Mercury, Grand Marquis GS 4dr,Sedan,USA,23217,224,17,25,115,212
Mercury, Grand Marquis LS Premium 4dr,Sedan,USA,27148,224,17,25,115,212
Mercury, Sable LS Premium 4dr,Sedan,USA,21918,201,19,26,109,200
Mercury, Grand Marquis LS Ultimate 4dr,Sedan,USA,28318,224,17,25,115,212
Mercury, Marauder 4dr,Sedan,USA,31558,302,17,23,115,212
Mercury, Monterey Luxury,Sedan,USA,30846,201,16,23,121,202
Mercury, Sable GS,Wagon,USA,20748,155,19,26,109,198
Mitsubishi, Endeavor XLS,SUV,Asia,28330,215,17,21,109,190
Mitsubishi, Montero XLS,SUV,Asia,30763,215,15,19,110,190
Mitsubishi, Outlander LS,SUV,Asia,17569,160,21,27,103,179
Mitsubishi, Lancer ES 4dr,Sedan,Asia,13751,120,25,31,102,181
Mitsubishi, Lancer LS 4dr,Sedan,Asia,15718,120,25,31,102,181
Mitsubishi, Galant ES 2.4L 4dr,Sedan,Asia,17957,160,23,30,108,191
Mitsubishi, Lancer OZ Rally 4dr auto,Sedan,Asia,16196,120,25,31,102,181
Mitsubishi, Diamante LS 4dr,Sedan,Asia,27250,205,18,25,107,194
Mitsubishi, Galant GTS 4dr,Sedan,Asia,23883,230,18,26,108,191
Mitsubishi, Eclipse GTS 2dr,Sports,Asia,23456,210,21,28,101,177
Mitsubishi, Eclipse Spyder GT convertible 2dr,Sports,Asia,25218,210,21,28,101,177
Mitsubishi, Lancer Evolution 4dr,Sports,Asia,27466,271,18,26,103,179
Mitsubishi, Lancer Sportback LS,Wagon,Asia,16295,160,25,31,102,181
Nissan, Pathfinder Armada SE,SUV,Asia,30815,305,13,19,123,207
Nissan, Pathfinder SE,SUV,Asia,25972,240,16,21,106,183
Nissan, Xterra XE V6,SUV,Asia,19512,180,17,20,104,178
Nissan, Sentra 1.8 4dr,Sedan,Asia,12205,126,28,35,100,178
Nissan, Sentra 1.8 S 4dr,Sedan,Asia,13747,126,28,35,100,178
Nissan, Altima S 4dr,Sedan,Asia,18030,175,21,26,110,192
Nissan, Sentra SE-R 4dr,Sedan,Asia,16444,165,23,28,100,178
Nissan, Altima SE 4dr,Sedan,Asia,21580,245,21,26,110,192
Nissan, Maxima SE 4dr,Sedan,Asia,25182,265,20,28,111,194
Nissan, Maxima SL 4dr,Sedan,Asia,26966,265,20,28,111,194
Nissan, Quest S,Sedan,Asia,22958,240,19,26,124,204
Nissan, Quest SE,Sedan,Asia,30019,240,18,25,124,204
Nissan, 350Z coupe 2dr,Sports,Asia,25203,287,20,26,104,169
Nissan, 350Z Enthusiast convertible 2dr,Sports,Asia,31845,287,20,26,104,169
Nissan, Frontier King Cab XE V6,Truck,Asia,18253,180,17,20,116,191
Nissan, Titan King Cab XE,Truck,Asia,24926,305,14,18,140,224
Nissan, Murano SL,Wagon,Asia,27300,245,20,25,111,188
Oldsmobile, Alero GX 2dr,Sedan,USA,17642,140,24,32,107,187
Oldsmobile, Alero GLS 2dr,Sedan,USA,21485,170,20,29,107,187
Oldsmobile, Silhouette GL,Sedan,USA,26120,185,19,26,120,201
Pontiac, Aztekt,SUV,USA,19810,185,19,26,108,182
Pontiac, Sunfire 1SA 2dr,Sedan,USA,14375,140,24,33,104,182
Pontiac, Grand Am GT 2dr,Sedan,USA,20595,175,20,29,107,186
Pontiac, Grand Prix GT1 4dr,Sedan,USA,20545,200,20,30,111,198
Pontiac, Sunfire 1SC 2dr,Sedan,USA,16369,140,24,33,104,182
Pontiac, Grand Prix GT2 4dr,Sedan,USA,22284,200,20,30,111,198
Pontiac, Bonneville GXP 4dr,Sedan,USA,32997,275,17,20,112,203
Pontiac, Montana,Sedan,USA,21644,185,19,26,112,187
Pontiac, Montana EWB,Sedan,USA,28454,185,18,24,121,201
Pontiac, GTO 2dr,Sports,USA,30710,340,16,20,110,190
Pontiac, Vibe,Wagon,USA,15973,130,29,36,102,172
Porsche, Cayenne S,SUV,Europe,49865,340,14,18,112,188
Porsche, 911 Carrera convertible 2dr (coupe),Sports,Europe,69229,315,18,26,93,175
Porsche, 911 Carrera 4S coupe 2dr (convert),Sports,Europe,72206,315,17,24,93,175
Porsche, 911 Targa coupe 2dr,Sports,Europe,67128,315,18,26,93,175
Porsche, 911 GT2 2dr,Sports,Europe,173560,477,17,24,93,175
Porsche, Boxster convertible 2dr,Sports,Europe,37886,228,20,29,95,170
Porsche, Boxster S convertible 2dr,Sports,Europe,45766,258,18,26,95,170
Saab, 9-3 Arc Sport 4dr,Sedan,Europe,29269,210,20,28,105,183
Saab, 9-3 Aero 4dr,Sedan,Europe,31562,210,20,28,105,183
Saab, 9-5 Arc 4dr,Sedan,Europe,33011,220,21,29,106,190
Saab, 9-5 Aero 4dr,Sedan,Europe,37721,250,21,29,106,190
Saab, 9-3 Arc convertible 2dr,Sedan,Europe,38520,210,21,29,105,182
Saab, 9-3 Aero convertible 2dr,Sedan,Europe,40883,210,21,30,105,182
Saab, 9-5 Aero,Wagon,Europe,38376,250,19,29,106,190
Saturn, VUE,SUV,USA,19238,143,21,26,107,181
Saturn, Ion1 4dr,Sedan,USA,10319,140,26,35,103,185
Saturn, lon2 4dr,Sedan,USA,13393,140,26,35,103,185
Saturn, lon3 4dr,Sedan,USA,14811,140,26,35,103,185
Saturn, lon2 quad coupe 2dr,Sedan,USA,13904,140,26,35,103,185
Saturn, lon3 quad coupe 2dr,Sedan,USA,15299,140,26,35,103,185
Saturn, L300-2 4dr,Sedan,USA,19801,182,20,28,107,190
Saturn, L300 2,Wagon,USA,21779,140,24,34,107,190
Scion, xA 4dr hatch,Sedan,Asia,12340,108,32,38,93,154
Scion, xB,Wagon,Asia,13480,108,31,35,98,155
Subaru, Impreza 2.5 RS 4dr,Sedan,Asia,18399,165,22,28,99,174
Subaru, Legacy L 4dr,Sedan,Asia,18713,165,21,28,104,184
Subaru, Legacy GT 4dr,Sedan,Asia,23336,165,21,28,104,184
Subaru, Outback Limited Sedan 4dr,Sedan,Asia,24687,165,20,27,104,184
Subaru, Outback H6 4dr,Sedan,Asia,26660,212,19,26,104,184
Subaru, Outback H-6 VDC 4dr,Sedan,Asia,28603,212,19,26,104,184
Subaru, Impreza WRX 4dr,Sports,Asia,23022,227,20,27,99,174
Subaru, Impreza WRX STi 4dr,Sports,Asia,29130,300,18,24,100,174
Subaru, Baja,Truck,Asia,22304,165,21,28,104,193
Subaru, Forester X,Wagon,Asia,19646,165,21,28,99,175
Subaru, Outback,Wagon,Asia,21773,165,21,28,104,187
Suzuki, XL-7 EX,SUV,Asia,22307,185,18,22,110,187
Suzuki, Vitara LX,SUV,Asia,16949,165,19,22,98,163
Suzuki, Aeno S 4dr,Sedan,Asia,12719,155,25,31,98,171
Suzuki, Aerio LX 4dr,Sedan,Asia,14317,155,25,31,98,171
Suzuki, Forenza S 4dr,Sedan,Asia,12116,119,24,31,102,177
Suzuki, Forenza EX 4dr,Sedan,Asia,15378,119,22,30,102,177
Suzuki, Verona LX 4dr,Sedan,Asia,17053,155,20,27,106,188
