"","Attrition_Flag","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio"
"28","Existing Customer","M",1,"Unknown","Married","$60K - $80K","Blue",3,3,2,10215,1010,0.843,1904,40,1,0.099
"29","Existing Customer","F",3,"Uneducated","Single","Unknown","Blue",5,2,2,10100,0,0.525,1052,18,1.571,0
"30","Existing Customer","M",4,"High School","Married","$40K - $60K","Blue",6,0,0,4785,1362,0.739,1045,38,0.9,0.285
"31","Existing Customer","M",3,"Unknown","Married","$80K - $120K","Blue",3,2,3,2753,1811,0.977,1038,25,2.571,0.658
"32","Existing Customer","M",2,"Uneducated","Married","$60K - $80K","Blue",2,5,1,2451,1690,1.323,1596,26,1.6,0.69
"33","Existing Customer","M",4,"Graduate","Married","$60K - $80K","Blue",4,1,2,8923,2517,1.726,1589,24,1.667,0.282
"34","Existing Customer","F",2,"College","Married","Less than $40K","Blue",5,2,3,2650,1490,1.75,1411,28,1,0.562
"35","Existing Customer","M",0,"Graduate","Married","$80K - $120K","Blue",6,2,2,12555,1696,0.519,1291,24,0.714,0.135
"36","Existing Customer","F",1,"College","Single","Less than $40K","Blue",4,2,1,3520,1914,0.51,1407,43,0.483,0.544
"37","Existing Customer","F",3,"Graduate","Married","Less than $40K","Blue",6,2,3,3035,2298,1.724,1877,37,1.176,0.757
"38","Existing Customer","F",4,"High School","Married","Less than $40K","Gold",2,3,3,15433,0,0.865,966,22,1.2,0
"39","Existing Customer","F",1,"Graduate","Unknown","$40K - $60K","Blue",3,3,2,3672,886,1.32,1464,28,0.556,0.241
"40","Attrited Customer","F",0,"Doctorate","Married","Unknown","Blue",5,4,3,7882,605,1.052,704,16,0.143,0.077
"41","Existing Customer","M",3,"Graduate","Single","$80K - $120K","Blue",2,2,2,32426,578,1.042,1109,28,0.474,0.018
"42","Existing Customer","M",2,"Unknown","Married","$40K - $60K","Blue",4,1,0,6205,2204,0.803,1347,28,0.556,0.355
"43","Existing Customer","F",1,"College","Single","$40K - $60K","Silver",3,2,3,17304,2517,1.449,1756,33,1.2,0.145
"44","Existing Customer","M",3,"High School","Married","$60K - $80K","Blue",5,2,1,3906,0,1.214,1756,32,1,0
"45","Existing Customer","F",4,"Graduate","Single","Unknown","Blue",2,3,3,9830,2055,0.977,1042,23,0.917,0.209
"46","Existing Customer","M",4,"Uneducated","Single","$80K - $120K","Blue",3,2,3,34516,0,1.621,1444,28,1.333,0
"47","Existing Customer","M",2,"Doctorate","Married","$60K - $80K","Blue",6,2,0,2283,1430,2.316,1741,27,0.588,0.626
"48","Existing Customer","M",1,"Doctorate","Married","$40K - $60K","Blue",3,2,2,2548,2020,2.357,1719,27,1.7,0.793
"49","Existing Customer","M",3,"High School","Married","$80K - $120K","Blue",4,3,3,19458,1435,0.787,1217,27,0.8,0.074
"50","Existing Customer","M",1,"College","Single","$80K - $120K","Blue",5,1,1,4745,1227,0.624,1140,40,0.6,0.259
"51","Existing Customer","F",3,"Unknown","Married","Less than $40K","Blue",6,3,2,2622,1549,1.321,1878,30,1.143,0.591
"52","Attrited Customer","F",1,"Graduate","Married","Less than $40K","Blue",2,3,1,1438.3,808,0.997,705,19,0.9,0.562
"53","Existing Customer","F",0,"High School","Married","Less than $40K","Blue",3,4,2,3171,2179,1.224,1946,38,1.923,0.687
"54","Existing Customer","M",2,"Unknown","Married","$120K +","Blue",4,2,0,19763,2517,0.664,1414,35,0.25,0.127
"55","Attrited Customer","M",2,"Graduate","Married","$120K +","Blue",1,3,3,15769,0,1.041,602,15,0.364,0
"56","Existing Customer","F",4,"Graduate","Unknown","Less than $40K","Blue",6,4,2,3298,2200,0.678,1052,32,0.6,0.667
"57","Existing Customer","F",3,"Graduate","Single","Less than $40K","Blue",2,2,0,2802,2363,0.75,1295,40,0.6,0.843
"58","Existing Customer","M",2,"Uneducated","Married","$40K - $60K","Blue",4,2,3,4458,1880,1.107,1424,29,1.417,0.422
"59","Existing Customer","F",5,"Graduate","Married","Unknown","Blue",4,1,2,6273,978,2.275,1359,25,1.083,0.156
"60","Existing Customer","M",2,"High School","Single","$60K - $80K","Blue",4,4,3,3336,1753,0.69,1168,27,1.25,0.525
"61","Existing Customer","M",3,"Unknown","Married","$80K - $120K","Blue",4,2,3,3436,2016,0.901,1097,33,0.833,0.587
"62","Attrited Customer","M",2,"Graduate","Married","$60K - $80K","Silver",2,4,4,34516,0,0.763,691,15,0.5,0
"63","Existing Customer","M",1,"High School","Divorced","$60K - $80K","Blue",5,3,3,5926,1251,0.944,1316,28,1.154,0.211
"64","Existing Customer","M",4,"Post-Graduate","Single","$120K +","Blue",2,4,2,23957,2102,0.997,1276,26,0.733,0.088
"65","Existing Customer","M",2,"High School","Single","$120K +","Blue",4,2,2,14734,1634,0.989,1289,23,0.917,0.111
"66","Existing Customer","M",4,"Uneducated","Single","$80K - $120K","Silver",4,1,4,34516,1515,0.592,1293,32,0.6,0.044
"67","Existing Customer","M",2,"College","Married","$60K - $80K","Blue",5,3,3,6584,1817,0.62,1353,35,0.667,0.276
"68","Existing Customer","F",2,"Uneducated","Single","Less than $40K","Blue",6,3,3,2084,1468,1.004,1132,28,0.556,0.704
"69","Existing Customer","M",2,"Graduate","Married","$60K - $80K","Blue",2,2,2,1687,1107,1.715,1670,17,2.4,0.656
"70","Existing Customer","M",2,"Doctorate","Married","$80K - $120K","Blue",6,2,2,25300,1330,1.072,837,15,2,0.053
"71","Existing Customer","M",4,"Graduate","Single","$120K +","Blue",3,2,3,34516,1763,1.266,1550,41,1.05,0.051
"72","Existing Customer","F",2,"Graduate","Married","Less than $40K","Blue",5,3,3,2216,1034,0.758,1540,36,0.286,0.467
"73","Existing Customer","M",1,"Graduate","Unknown","$60K - $80K","Blue",4,2,3,2910,2030,0.769,1256,21,0.4,0.698
"74","Existing Customer","M",5,"Uneducated","Married","$80K - $120K","Blue",6,2,2,22913,1528,0.414,1394,35,0.522,0.067
"75","Existing Customer","M",1,"College","Single","$60K - $80K","Blue",3,3,3,24312,1932,1.312,1341,24,1.182,0.079
"76","Existing Customer","M",2,"Graduate","Single","$80K - $120K","Blue",5,3,2,5272,1515,0.857,1289,33,0.435,0.287
"77","Existing Customer","F",4,"Graduate","Single","Less than $40K","Blue",6,4,2,7000,2517,0.475,1112,23,1.875,0.36
"78","Existing Customer","F",3,"Uneducated","Single","Less than $40K","Blue",4,4,2,7038,1801,0.751,2339,57,0.966,0.256
"79","Existing Customer","M",3,"Graduate","Divorced","$60K - $80K","Blue",6,1,2,2536,1823,0.703,1468,23,0.353,0.719
"80","Existing Customer","M",2,"Graduate","Married","$80K - $120K","Blue",6,3,2,28904,1899,0.85,1334,35,0.4,0.066
"81","Existing Customer","M",3,"Graduate","Married","$60K - $80K","Blue",4,4,0,8567,1695,1.242,1457,41,1.412,0.198
"82","Existing Customer","M",1,"Unknown","Unknown","$120K +","Blue",6,2,2,34516,1533,0.924,1603,29,0.526,0.044
"83","Attrited Customer","F",4,"Unknown","Married","$40K - $60K","Blue",2,4,3,2158,0,0.585,615,12,0.714,0
"84","Existing Customer","F",1,"Graduate","Married","Unknown","Blue",2,3,3,10133,1417,0.383,1068,20,0.818,0.14
"85","Existing Customer","M",1,"Graduate","Divorced","$80K - $120K","Blue",5,4,2,34516,1219,1.129,1590,27,2,0.035
"86","Existing Customer","M",2,"Graduate","Married","$60K - $80K","Blue",5,3,0,3085,1910,0.921,1531,35,0.667,0.619
"87","Existing Customer","M",2,"High School","Single","$120K +","Blue",4,2,1,19040,2056,0.607,1212,31,0.722,0.108
"88","Existing Customer","F",3,"Uneducated","Single","Less than $40K","Blue",5,2,3,4026,0,0.483,1237,32,0.6,0
"89","Existing Customer","M",3,"High School","Single","$60K - $80K","Blue",4,3,1,12756,837,1.932,1413,14,1.8,0.066
"90","Existing Customer","M",2,"Unknown","Married","$120K +","Blue",5,3,3,5266,0,1.702,1516,29,1.636,0
"91","Existing Customer","F",2,"High School","Single","Less than $40K","Blue",3,2,2,9930,0,0.731,1276,21,1.333,0
"92","Existing Customer","M",4,"High School","Single","$80K - $120K","Blue",4,3,0,31302,1953,0.875,1564,35,2.182,0.062
"93","Existing Customer","M",1,"Graduate","Single","$40K - $60K","Blue",4,4,3,6576,0,0.579,1465,34,0.619,0
"94","Existing Customer","M",0,"Graduate","Single","$80K - $120K","Blue",5,4,1,2664,2037,0.85,1286,29,0.933,0.765
"95","Existing Customer","F",3,"Unknown","Married","Unknown","Blue",5,1,2,2535,2440,1.705,1312,20,1.222,0.963
"96","Existing Customer","M",1,"Graduate","Married","Less than $40K","Blue",6,4,3,1709,895,1.656,1673,32,0.882,0.524
"97","Existing Customer","M",3,"Graduate","Married","$40K - $60K","Blue",5,4,2,3454,1200,0.597,1313,30,0.304,0.347
"98","Existing Customer","M",3,"Doctorate","Married","$40K - $60K","Blue",5,3,2,3789,1706,1.047,1609,42,0.68,0.45
"99","Existing Customer","M",3,"College","Married","$120K +","Blue",3,2,0,9689,2250,0.576,1158,19,0.727,0.232
"100","Attrited Customer","M",2,"Unknown","Married","$80K - $120K","Blue",2,3,3,5449,1628,0.696,836,18,0.385,0.299
"101","Existing Customer","F",3,"College","Single","Unknown","Blue",4,4,0,23032,1960,0.619,1289,22,1,0.085
"102","Existing Customer","F",3,"Unknown","Married","Unknown","Silver",5,3,3,34516,2053,1.034,1487,26,0.733,0.059
"103","Existing Customer","M",3,"Graduate","Married","$120K +","Blue",6,2,2,2940,1264,0.562,1259,33,0.5,0.43
"104","Existing Customer","F",2,"Graduate","Single","Less than $40K","Blue",3,3,3,3031,1879,0.788,1298,15,1.5,0.62
"105","Existing Customer","M",3,"High School","Unknown","$60K - $80K","Blue",3,3,0,1862,0,0.883,1226,34,0.789,0
"106","Existing Customer","F",4,"Post-Graduate","Married","Less than $40K","Blue",2,3,3,8358,926,0.762,1566,37,0.542,0.111
"107","Existing Customer","M",2,"Post-Graduate","Single","$120K +","Blue",6,1,2,34516,931,0.828,1022,21,1.1,0.027
"108","Existing Customer","M",1,"Uneducated","Married","$60K - $80K","Blue",5,2,3,14450,2440,1.283,1235,30,0.667,0.169
"109","Existing Customer","F",1,"Unknown","Married","Less than $40K","Blue",6,0,0,1438.3,0,0.813,1951,44,1.095,0
"110","Existing Customer","M",4,"Unknown","Divorced","$120K +","Blue",6,3,2,33791,1960,0.618,1047,31,0.824,0.058
"111","Existing Customer","M",4,"Graduate","Married","$60K - $80K","Blue",4,3,0,8466,1886,0.56,1342,32,0.391,0.223
"112","Existing Customer","M",3,"Unknown","Married","$60K - $80K","Blue",5,3,3,15088,865,0.939,1107,21,1.625,0.057
"113","Existing Customer","M",4,"High School","Divorced","$60K - $80K","Blue",5,1,2,3263,1674,0.588,1251,35,0.346,0.513
"114","Existing Customer","F",0,"Uneducated","Married","Less than $40K","Blue",2,2,2,1494,706,1.674,1305,24,3,0.473
"115","Existing Customer","M",3,"Graduate","Single","$80K - $120K","Blue",6,1,0,13551,1294,0.791,1388,37,1.056,0.095
"116","Existing Customer","M",1,"Graduate","Single","$80K - $120K","Blue",6,2,2,18886,895,1.826,1235,18,1.571,0.047
"117","Existing Customer","M",3,"High School","Unknown","$80K - $120K","Blue",3,2,0,11976,1273,1.024,2089,36,1.118,0.106
"118","Existing Customer","M",3,"High School","Single","$80K - $120K","Blue",4,1,4,9964,1559,1.873,1626,25,0.786,0.156
"119","Existing Customer","M",1,"Doctorate","Married","$60K - $80K","Blue",4,6,3,24159,1196,0.712,1111,24,1,0.05
"120","Existing Customer","F",2,"High School","Married","Less than $40K","Blue",3,2,3,5362,1901,0.816,1553,38,1,0.355
"121","Existing Customer","M",2,"Graduate","Single","$120K +","Blue",3,2,2,34516,1023,1.004,1064,13,0.625,0.03
"122","Existing Customer","F",1,"Doctorate","Married","Less than $40K","Blue",4,1,0,3174,1951,0.766,1243,29,0.611,0.615
"123","Existing Customer","M",1,"High School","Married","$80K - $120K","Blue",3,2,2,12262,1836,1.584,1659,38,1.533,0.15
"124","Existing Customer","F",3,"High School","Single","$40K - $60K","Blue",4,3,3,3788,1540,0.566,1594,47,0.382,0.407
"125","Existing Customer","M",2,"College","Single","$120K +","Silver",2,3,2,34516,1527,0.526,1268,42,0.355,0.044
"126","Existing Customer","M",3,"Graduate","Single","$60K - $80K","Blue",4,2,2,2926,0,0.676,1304,24,0.846,0
"127","Existing Customer","M",4,"Graduate","Single","$120K +","Blue",6,1,0,32090,0,0.567,1368,30,0.364,0
"128","Attrited Customer","M",2,"Graduate","Married","$80K - $120K","Blue",3,3,2,11669,2227,0.622,720,23,0.353,0.191
"129","Existing Customer","M",2,"High School","Single","$40K - $60K","Blue",3,1,2,13532,1300,0.846,1521,29,1.417,0.096
"130","Existing Customer","F",1,"Uneducated","Unknown","Less than $40K","Silver",4,2,2,11888,2090,0.7,1137,30,0.765,0.176
"131","Existing Customer","F",1,"Graduate","Married","Less than $40K","Blue",5,1,2,2393,1985,0.788,978,16,0.778,0.83
"132","Existing Customer","M",4,"Unknown","Married","$40K - $60K","Blue",5,1,2,6111,2517,0.632,1221,16,2.2,0.412
"133","Existing Customer","M",4,"Graduate","Married","$80K - $120K","Blue",3,2,3,19270,1662,1.186,1565,28,1.545,0.086
"134","Existing Customer","M",1,"Graduate","Married","$80K - $120K","Blue",3,1,4,3710,2517,1.541,1578,34,0.7,0.678
"135","Existing Customer","M",2,"Doctorate","Single","Less than $40K","Blue",2,1,3,3235,797,0.541,1493,32,1,0.246
"136","Existing Customer","F",3,"Graduate","Single","$40K - $60K","Blue",3,1,0,11749,788,0.688,1178,27,0.929,0.067
"137","Existing Customer","M",2,"High School","Divorced","$60K - $80K","Blue",5,3,2,7753,2100,0.839,991,26,0.733,0.271
"138","Existing Customer","M",4,"College","Divorced","$60K - $80K","Blue",5,1,0,10408,1186,1.689,2560,42,1.211,0.114
"139","Existing Customer","F",1,"College","Married","Unknown","Blue",6,2,3,3967,1568,1.236,1657,29,1.231,0.395
"140","Existing Customer","F",2,"Post-Graduate","Single","Less than $40K","Blue",4,2,2,6205,2517,0.939,1204,19,0.727,0.406
"141","Attrited Customer","F",5,"High School","Married","Less than $40K","Blue",1,3,3,8025,0,0.654,673,18,0.8,0
"142","Existing Customer","M",1,"Unknown","Single","$120K +","Blue",6,2,3,9036,2327,0.649,1131,18,0.636,0.258
"143","Existing Customer","M",4,"Graduate","Married","$80K - $120K","Blue",2,3,2,14926,2517,1.996,1576,25,1.5,0.169
"144","Existing Customer","F",1,"Graduate","Single","Less than $40K","Blue",3,2,3,6335,1128,0.397,1217,20,0.667,0.178
"145","Attrited Customer","M",1,"College","Single","$60K - $80K","Blue",2,3,3,14979,0,0.71,530,10,1,0
"146","Attrited Customer","F",4,"Uneducated","Married","Less than $40K","Blue",3,2,3,2732,0,0.76,739,16,0.455,0
"147","Existing Customer","F",2,"Graduate","Single","Less than $40K","Blue",6,3,2,2250,2117,1.162,1617,31,2.875,0.941
"148","Existing Customer","M",2,"Graduate","Married","$120K +","Blue",3,2,0,10916,1536,1.317,1592,34,1,0.141
"149","Existing Customer","F",4,"Graduate","Married","Unknown","Blue",4,1,3,5349,1228,0.728,1343,30,1.308,0.23
"150","Existing Customer","M",2,"High School","Married","$80K - $120K","Blue",4,1,3,9366,1104,0.572,1303,39,0.625,0.118
"151","Existing Customer","M",3,"High School","Single","$80K - $120K","Blue",5,1,0,21617,0,1.047,1351,22,0.467,0
"152","Existing Customer","M",1,"Graduate","Married","Unknown","Blue",5,2,3,13860,1652,1.255,1910,32,1.909,0.119
"153","Existing Customer","F",1,"Graduate","Single","$40K - $60K","Silver",2,2,3,18386,0,0.868,1298,22,0.571,0
"154","Existing Customer","M",4,"Uneducated","Single","$60K - $80K","Blue",6,2,2,2405,1540,0.469,1087,29,1.231,0.64
"155","Existing Customer","F",1,"College","Married","Less than $40K","Blue",4,2,3,2154,930,2.121,1439,26,1.364,0.432
"156","Existing Customer","F",5,"Unknown","Married","$40K - $60K","Blue",3,3,3,2038,0,0.786,1238,28,0.75,0
"157","Existing Customer","F",4,"High School","Single","$40K - $60K","Blue",6,1,3,8135,0,1.373,1716,29,0.812,0
"158","Existing Customer","M",1,"Doctorate","Married","$120K +","Blue",6,1,3,9364,618,0.554,1099,27,0.8,0.066
"159","Existing Customer","F",2,"Uneducated","Married","Unknown","Silver",4,3,2,32643,0,1.3,1058,24,2.429,0
"160","Existing Customer","F",4,"Graduate","Divorced","Less than $40K","Blue",2,3,1,3195,1954,0.971,1285,29,0.706,0.612
"161","Existing Customer","M",0,"High School","Married","$80K - $120K","Blue",5,2,1,2852,1024,1.009,1651,28,1,0.359
"162","Existing Customer","F",1,"College","Single","Unknown","Blue",2,3,3,4224,1305,0.852,1152,31,0.824,0.309
"163","Existing Customer","M",1,"Uneducated","Married","$60K - $80K","Blue",3,2,2,20459,2071,1.248,1767,38,2.167,0.101
"164","Existing Customer","F",4,"Unknown","Divorced","Less than $40K","Blue",6,5,3,3482,2114,0.508,1039,24,0.263,0.607
"165","Existing Customer","F",4,"Uneducated","Married","$40K - $60K","Blue",5,2,3,3065,1570,1.077,1130,28,1.333,0.512
"166","Existing Customer","F",3,"Uneducated","Married","Less than $40K","Blue",3,1,2,2185,1761,0.682,1645,30,0.429,0.806
"167","Existing Customer","F",3,"Uneducated","Married","Less than $40K","Blue",4,1,0,1611,746,0.993,1413,29,0.706,0.463
"168","Existing Customer","F",4,"Uneducated","Married","Less than $40K","Blue",3,3,3,2822,2173,1.456,1218,23,2.286,0.77
"169","Attrited Customer","M",5,"Graduate","Single","$80K - $120K","Blue",6,3,3,32975,2517,0.658,597,17,0.7,0.076
"170","Existing Customer","M",3,"High School","Married","$60K - $80K","Blue",5,2,2,1438.3,0,0.776,2184,53,0.828,0
"171","Existing Customer","F",4,"Uneducated","Divorced","Unknown","Blue",4,3,3,15875,1719,0.86,1592,37,1.467,0.108
"172","Existing Customer","F",1,"High School","Married","Less than $40K","Blue",6,3,3,6703,893,0.567,1388,28,0.75,0.133
"173","Attrited Customer","M",2,"Unknown","Married","$80K - $120K","Blue",2,2,1,3212,0,0.713,757,20,0.25,0
"174","Existing Customer","M",2,"High School","Married","$80K - $120K","Silver",3,1,3,34516,1260,0.588,1504,34,0.789,0.037
"175","Existing Customer","F",3,"High School","Married","$40K - $60K","Blue",4,1,2,9797,1434,0.644,1503,34,0.478,0.146
"176","Existing Customer","F",5,"Graduate","Divorced","$40K - $60K","Blue",5,2,2,10400,1777,0.791,1105,28,0.867,0.171
"177","Existing Customer","M",3,"Uneducated","Married","$80K - $120K","Blue",2,1,2,26792,1836,1.432,2398,47,0.88,0.069
"178","Existing Customer","F",1,"Graduate","Married","Less than $40K","Blue",4,3,2,3006,2517,2.053,1661,32,1,0.837
"179","Existing Customer","F",2,"Uneducated","Single","$40K - $60K","Silver",6,3,0,19482,1072,0.706,1421,22,1.444,0.055
"180","Existing Customer","F",1,"Uneducated","Married","$40K - $60K","Blue",4,2,3,3356,985,0.35,999,28,0.556,0.294
"181","Existing Customer","M",2,"Uneducated","Married","$40K - $60K","Blue",3,2,1,5771,2248,1.791,1387,18,0.8,0.39
"182","Existing Customer","M",3,"Graduate","Married","$80K - $120K","Blue",6,2,3,11106,2107,0.948,1243,24,1,0.19
"183","Existing Customer","F",1,"Uneducated","Married","Less than $40K","Blue",5,3,0,2890,2001,1.334,1860,36,1,0.692
"184","Existing Customer","M",1,"Graduate","Married","$60K - $80K","Blue",6,2,2,3380,1701,0.747,1502,25,1.273,0.503
"185","Existing Customer","M",3,"Graduate","Married","$60K - $80K","Blue",2,1,2,21331,1251,0.949,1460,50,1.083,0.059
"186","Existing Customer","F",3,"Uneducated","Single","Unknown","Blue",6,2,1,12860,0,0.646,1348,27,0.286,0
"187","Existing Customer","M",3,"Post-Graduate","Single","$80K - $120K","Blue",3,1,0,6278,462,1.161,1087,33,0.941,0.074
"188","Existing Customer","F",0,"College","Single","Less than $40K","Blue",5,1,3,1438.3,738,0.782,1226,33,0.571,0.513
"189","Existing Customer","F",2,"High School","Married","Less than $40K","Blue",5,1,2,9355,1626,0.701,1230,28,0.867,0.174
"190","Existing Customer","F",2,"Post-Graduate","Married","Unknown","Blue",6,1,3,20758,0,0.688,1555,32,0.684,0
"191","Existing Customer","M",1,"Graduate","Married","$80K - $120K","Blue",5,3,1,14612,1976,1.768,1827,24,3,0.135
"192","Existing Customer","M",4,"Graduate","Unknown","$80K - $120K","Blue",5,2,0,27259,0,0.731,1376,35,0.591,0
"193","Existing Customer","F",3,"Graduate","Married","Less than $40K","Blue",4,2,3,6347,1594,0.896,1771,37,0.762,0.251
"194","Existing Customer","M",3,"Doctorate","Married","$120K +","Blue",3,3,0,21592,1676,1.097,1873,52,0.529,0.078
"195","Existing Customer","F",5,"Post-Graduate","Married","Less than $40K","Blue",5,1,1,3449,1598,0.971,1679,42,0.556,0.463
"196","Existing Customer","F",3,"High School","Married","Less than $40K","Blue",2,1,2,6028,799,0.819,1002,22,0.571,0.133
"197","Existing Customer","M",0,"High School","Unknown","$120K +","Blue",3,2,3,18214,1998,0.829,1344,21,1.1,0.11
"198","Existing Customer","M",3,"Uneducated","Married","$80K - $120K","Blue",3,3,1,16393,1423,1.642,1461,42,0.75,0.087
"199","Attrited Customer","M",0,"High School","Married","Less than $40K","Blue",1,3,2,1438.3,900,0.743,760,21,0.615,0.626
"200","Existing Customer","M",1,"College","Married","$60K - $80K","Blue",4,1,2,7871,1687,1.242,1428,22,1.444,0.214
"201","Existing Customer","M",4,"Unknown","Married","$80K - $120K","Blue",5,3,0,5288,866,0.869,1777,42,0.75,0.164
"202","Existing Customer","M",5,"Graduate","Married","$60K - $80K","Blue",4,5,3,11376,2006,0.619,1302,27,0.8,0.176
"203","Existing Customer","M",3,"College","Married","$80K - $120K","Blue",4,5,3,12302,1632,1.509,1483,41,0.519,0.133
"204","Existing Customer","M",4,"Graduate","Married","$60K - $80K","Silver",3,2,1,34516,1679,0.623,1060,27,0.5,0.049
"205","Existing Customer","M",2,"Graduate","Married","$60K - $80K","Silver",4,2,2,34516,1468,0.505,1330,32,0.684,0.043
"206","Existing Customer","F",1,"High School","Divorced","Less than $40K","Silver",3,2,2,10514,1580,0.504,1229,27,0.8,0.15
"207","Attrited Customer","F",2,"Graduate","Married","Less than $40K","Blue",2,4,3,1438.3,0,0.707,886,27,0.421,0
"208","Attrited Customer","M",2,"Post-Graduate","Married","$60K - $80K","Blue",3,3,3,1438.3,0,0.688,844,24,0.5,0
"209","Existing Customer","M",1,"Graduate","Married","$40K - $60K","Blue",2,1,2,2619,1779,1.259,1450,37,0.947,0.679
"210","Existing Customer","M",2,"College","Married","$120K +","Blue",2,3,0,24407,2395,1.071,2311,48,0.714,0.098
"211","Existing Customer","F",2,"High School","Married","Less than $40K","Blue",4,1,2,2377,1649,0.93,1378,26,1.167,0.694
"212","Existing Customer","M",0,"Unknown","Unknown","$80K - $120K","Silver",3,2,3,34516,1359,1.327,1033,26,1.364,0.039
"213","Existing Customer","M",3,"Graduate","Married","$120K +","Blue",5,3,3,11086,2207,0.869,1523,40,1.105,0.199
"214","Existing Customer","M",3,"High School","Single","$60K - $80K","Blue",4,2,2,11432,2517,0.615,1374,37,0.762,0.22
"215","Existing Customer","M",4,"High School","Married","$40K - $60K","Blue",5,3,2,13258,1721,0.908,1080,21,1.333,0.13
"216","Existing Customer","M",2,"College","Single","Less than $40K","Blue",3,2,3,2571,1955,0.531,1234,24,0.714,0.76
"217","Existing Customer","F",4,"Graduate","Single","Less than $40K","Blue",5,2,0,5781,1168,0.638,1600,32,0.455,0.202
"218","Existing Customer","M",4,"Unknown","Married","$60K - $80K","Blue",5,1,2,7872,2509,0.971,1155,32,0.882,0.319
