Donnor_ID,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftAvgLast,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftTimeFirst,GiftTimeLast
00034174,$11.00,$6.08,$12.00,$12.00,2,12,1,6,112,20
00015038,$19.00,$12.80,$19.00,$19.00,1,10,1,9,108,17
00186974,$25.00,$13.67,$25.00,$10.00,1,3,1,1,21,7
00189536,$13.00,$13.00,$16.00,$16.00,2,2,1,1,28,24
00015046,$6.67,$2.64,$6.67,$10.00,3,22,3,16,131,24
00015066,$10.25,$8.96,$10.00,$11.00,4,24,2,10,111,19
00015086,$15.17,$14.18,$13.33,$25.00,6,22,3,9,99,16
00015163,$20.00,$20.00,,$20.00,1,1,0,0,20,20
00015219,$25.00,$25.00,$25.00,$25.00,1,1,1,1,21,21
00015237,$20.00,$20.00,,$20.00,2,2,0,0,20,16
00015277,$15.00,$11.31,$15.00,$15.00,2,16,2,12,122,19
00015332,$10.00,$6.54,$11.00,$11.00,2,13,1,6,77,17
00015311,$25.00,$25.00,$25.00,$25.00,1,1,1,1,21,21
00015349,$20.00,$20.00,,$20.00,1,1,0,0,19,19
00015350,$17.50,$17.50,$15.00,$20.00,2,2,1,1,23,18
00015384,$10.00,$10.00,$5.00,$15.00,2,2,1,1,29,18
00015445,$20.00,$10.23,,$20.00,1,13,0,6,103,19
00185774,$19.00,$15.48,$19.00,$10.00,6,44,2,10,187,5
00015416,$20.00,$20.00,$20.00,$20.00,1,1,1,1,24,24
00015573,$9.00,$4.85,$9.00,$10.00,3,18,3,13,125,17
00015566,$11.00,$7.21,,$13.00,2,14,0,4,86,21
00015549,$16.00,$14.00,$20.00,$20.00,2,3,1,1,44,24
00015651,$8.50,$6.93,$9.50,$10.00,4,14,2,7,127,23
00190355,$12.50,$9.00,$12.50,$10.00,2,12,2,12,100,16
00015659,$13.00,$13.00,,$16.00,2,2,0,0,20,16
00015668,$20.00,$9.33,,$20.00,1,3,0,2,68,26
00015697,$16.00,$14.00,,$20.00,2,3,0,1,44,19
00015704,$10.33,$10.33,$8.00,$15.00,3,3,2,2,32,18
00001799,$7.25,$9.24,$7.67,$9.00,8,21,6,12,75,4
00015756,$6.25,$5.78,$5.00,$5.00,4,9,1,2,52,18
00015772,$7.60,$5.67,$6.67,$8.00,5,18,3,13,130,16
00045922,$15.00,$10.33,,$15.00,1,3,0,1,52,17
00015857,$15.00,$12.00,$15.00,$15.00,1,5,1,2,64,21
00015874,$14.00,$14.00,$14.00,$25.00,2,2,2,2,33,23
00015912,$6.50,$6.33,$6.50,$6.00,6,9,2,4,52,20
00015902,$15.00,$15.00,,$20.00,2,2,0,0,31,18
00015940,$5.00,$5.33,$5.00,$5.00,4,15,3,10,105,17
00015965,$4.20,$3.69,$4.50,$4.00,5,16,2,8,124,16
00015945,$20.00,$20.00,$20.00,$20.00,2,2,2,2,29,23
00016014,$17.50,$10.54,$15.00,$20.00,2,13,1,6,116,26
00015996,$12.00,$9.00,$15.00,$15.00,2,4,1,3,56,24
00016011,$20.00,$10.06,,$20.00,1,18,0,10,121,21
00015052,$20.00,$20.00,$15.00,$25.00,2,2,1,1,29,15
00016049,$16.00,$13.00,$16.00,$16.00,1,2,1,2,53,19
00016099,$5.50,$5.50,$5.00,$10.00,4,4,1,1,32,20
00016102,$15.00,$15.00,$15.00,$15.00,1,1,1,1,19,19
00016136,$3.67,$3.57,$5.00,$3.00,6,14,2,3,69,15
00004132,$14.75,$10.95,$17.50,$10.00,4,21,2,9,111,19
00016138,$15.00,$12.61,$15.00,$15.00,5,18,2,8,75,17
00016175,$25.00,$25.00,$25.00,$25.00,1,1,1,1,24,24
00016215,$10.00,$9.74,,$10.00,2,19,0,8,92,26
00016230,$21.67,$21.67,$25.00,$25.00,3,3,1,1,30,24
00016247,$10.00,$8.92,$10.00,$10.00,3,13,2,10,110,20
00015800,$5.09,$4.97,$5.14,$5.00,11,38,7,23,127,15
00016329,$5.60,$4.87,$6.00,$5.00,5,15,1,6,97,15
00016973,$7.83,$6.39,$7.75,$9.00,6,38,4,15,128,17
00016394,$15.00,$10.70,,$15.00,1,20,0,11,124,21
00016480,$15.00,$9.11,$15.00,$15.00,4,18,1,10,123,24
00016450,$13.67,$13.67,,$21.00,3,3,0,0,32,15
00188284,$5.67,$5.10,$5.00,$10.00,3,20,1,10,121,6
00015648,$14.67,$8.95,$15.50,$16.00,3,22,2,14,130,22
00015720,$13.33,$10.00,$12.50,$15.00,3,5,2,4,45,26
00016532,$3.00,$9.00,$3.00,$15.00,1,2,1,1,30,25
00016562,$7.75,$6.29,$8.00,$9.00,4,7,2,4,45,16
00016643,$13.67,$13.67,$16.00,$15.00,3,3,1,1,27,18
00188246,$11.25,$7.85,$10.00,$10.00,4,20,3,11,109,18
00016662,$16.00,$10.80,$20.00,$20.00,2,5,1,4,63,20
00018300,$20.00,$17.83,,$20.00,1,6,0,2,110,18
00016688,$7.50,$7.00,$5.00,$10.00,2,3,1,1,21,16
00016723,$14.33,$14.33,$16.50,$20.00,3,3,2,2,29,16
00016764,$25.00,$14.88,,$15.00,1,8,0,2,68,18
00016771,$5.00,$4.72,$5.00,$5.00,3,18,1,11,111,19
00016774,$10.50,$8.75,$10.75,$10.00,6,28,4,17,126,16
00016777,$15.00,$15.00,$5.00,$25.00,2,2,1,1,29,15
00016813,$6.75,$6.60,$6.00,$6.00,4,5,2,2,24,15
00024281,$15.00,$9.60,$15.00,$15.00,2,10,1,5,120,18
00016837,$15.00,$9.59,,$15.00,1,17,0,8,86,18
00188155,$6.80,$6.05,$6.75,$7.00,5,20,4,13,102,16
00190040,$12.50,$12.50,$12.50,$15.00,2,2,2,2,24,16
00016863,$18.33,$15.00,$18.33,$25.00,3,4,3,4,44,16
00016972,$8.50,$10.59,$10.00,$10.00,3,20,2,11,130,23
00016889,$12.50,$12.14,$10.00,$15.00,2,7,1,3,76,19
00088361,$18.00,$11.00,$19.00,$19.00,2,6,1,2,73,17
00016946,$14.00,$14.00,$15.00,$20.00,3,3,2,2,34,17
00017021,$15.00,$15.00,$15.00,$15.00,1,1,1,1,16,16
00017089,$6.00,$6.00,$6.67,$5.00,5,7,3,4,52,19
00017094,$13.00,$13.00,,$16.00,2,2,0,0,28,18
00017102,$6.80,$5.69,$7.00,$6.00,5,13,1,4,56,22
00017117,$9.25,$5.29,$10.00,$10.00,4,14,2,6,122,15
00017118,$15.00,$15.00,,$15.00,1,1,0,0,15,15
00017145,$20.00,$20.00,$20.00,$20.00,1,1,1,1,16,16
00017217,$6.67,$6.71,$6.67,$10.00,3,17,3,9,63,18
00016756,$13.00,$15.40,$11.00,$10.00,4,5,2,3,44,15
00024311,$16.50,$10.22,$16.50,$16.00,2,9,2,7,105,24
00017268,$10.00,$6.09,$10.00,$10.00,3,23,1,10,130,24
00017283,$10.00,$4.71,$10.00,$3.00,3,17,1,6,105,18
00017279,$15.00,$15.00,$10.00,$20.00,2,2,1,1,29,16
00017255,$16.00,$12.71,$16.00,$16.00,1,7,1,5,77,15
00017333,$12.00,$11.29,$12.00,$12.00,4,7,2,3,41,16
00017452,$27.50,$18.86,$28.33,$40.00,4,7,3,5,45,18
00017378,$20.00,$11.25,$20.00,$20.00,1,4,1,3,53,17
00017517,$15.00,$12.25,$15.00,$15.00,1,4,1,3,64,16
00017418,$11.00,$9.75,$11.00,$11.00,3,4,3,3,27,16
00017435,$25.00,$25.00,$25.00,$25.00,1,1,1,1,16,16
00017511,$20.00,$17.50,$20.00,$20.00,1,2,1,1,33,27
00017590,$30.00,$19.55,$30.00,$30.00,1,11,1,8,105,20
00017608,$11.50,$8.13,$11.33,$12.00,4,16,3,10,119,22
00005331,$13.33,$11.55,$13.00,$15.00,9,22,7,11,112,4
00017636,$20.00,$16.67,$20.00,$20.00,2,6,1,4,74,18
00017363,$15.00,$15.00,$15.00,$15.00,2,2,1,1,29,20
00017367,$9.33,$8.43,$9.80,$7.00,6,7,5,5,35,19
00017578,$10.00,$10.00,$10.00,$10.00,4,4,4,4,33,20
00017664,$20.00,$20.00,,$20.00,1,1,0,0,15,15
00017714,$21.00,$12.43,$21.00,$21.00,2,7,1,4,87,17
00188727,$15.00,$11.91,$15.50,$10.00,3,11,2,4,69,5
00186462,$5.00,$4.29,$5.00,$10.00,3,28,2,17,129,4
00014124,$15.00,$11.95,$15.00,$15.00,1,22,1,5,147,4
00005960,$18.00,$12.83,$18.00,$20.00,2,12,2,7,101,17
00017791,$25.00,$25.00,$25.00,$25.00,2,4,2,3,44,18
00017772,$10.00,$10.00,$15.00,$5.00,2,2,1,1,21,20
00017782,$13.33,$10.80,$12.50,$15.00,3,5,2,2,33,18
00017820,$10.00,$9.17,$10.00,$10.00,2,29,2,10,128,22
00017833,$12.50,$12.50,,$15.00,2,2,0,0,28,18
00017872,$14.25,$15.40,$10.00,$25.00,4,15,2,9,130,15
00016733,$20.00,$16.70,$20.00,$20.00,4,20,1,11,126,17
00017898,$6.33,$5.50,$5.00,$4.00,3,4,1,1,24,16
00017881,$9.25,$9.25,$11.00,$14.00,4,4,1,1,31,19
00017921,$8.20,$7.29,$8.33,$9.00,5,7,3,4,41,16
00017961,$12.00,$8.80,,$10.00,2,15,0,9,126,16
00018055,$15.00,$9.50,$10.00,$20.00,3,6,1,3,65,27
00188333,$0.00,$16.00,,$25.00,0,9,0,4,85,6
00017988,$25.67,$19.73,$25.00,$20.00,3,15,2,9,117,18
00018019,$20.00,$20.00,$20.00,$20.00,1,1,1,1,25,25
00018038,$15.50,$12.38,$15.50,$16.00,2,8,2,7,77,25
00018067,$13.50,$8.00,,$15.00,2,9,0,6,130,19
00018104,$12.33,$10.55,$13.00,$13.00,3,11,1,8,123,16
00018089,$16.60,$13.78,$16.60,$17.00,5,9,5,8,76,21
00018091,$21.67,$15.78,$20.00,$25.00,3,9,1,6,81,27
00018115,$25.00,$18.14,,$25.00,1,7,0,5,104,18
00017023,$23.00,$23.00,$23.00,$23.00,1,1,1,1,17,17
00018126,$11.20,$9.63,$11.50,$10.00,5,8,4,7,53,20
00018196,$11.33,$7.47,$10.00,$13.00,6,43,2,17,127,15
00018182,$17.50,$17.50,$17.50,$20.00,2,2,2,2,36,21
00018207,$12.50,$12.50,$10.00,$15.00,2,2,1,1,29,17
00013782,$15.00,$18.04,$20.00,$10.00,2,23,1,14,130,6
00018229,$50.00,$21.15,,$50.00,2,13,0,8,119,18
00018266,$5.00,$5.00,$5.00,$5.00,9,28,7,19,92,17
00018257,$4.75,$4.00,$4.75,$1.00,4,9,4,6,44,15
00018262,$6.55,$6.11,$6.29,$8.00,11,18,7,10,55,18
00018283,$10.25,$8.78,$9.50,$12.00,4,9,2,3,103,16
00018322,$9.50,$7.38,$9.67,$11.00,4,8,3,6,56,17
00018341,$14.50,$8.22,$14.50,$20.00,2,9,2,5,85,21
00018339,$10.00,$10.00,$5.00,$10.00,3,3,1,1,32,18
00018351,$16.00,$12.40,,$16.00,1,5,0,3,79,24
00018359,$8.25,$6.44,,$10.00,4,18,0,8,130,15
00187959,$9.50,$7.50,$9.33,$11.00,4,34,3,20,80,19
00018428,$7.83,$7.29,$10.00,$5.00,6,14,2,5,52,19
00018425,$6.00,$7.00,$6.00,$8.00,3,4,3,3,29,16
00018438,$5.00,$4.18,$5.00,$5.00,7,17,3,10,113,16
00018454,$11.50,$7.69,$10.00,$11.00,4,16,1,10,128,15
00018466,$5.00,$3.93,$5.00,$5.00,4,14,3,7,68,15
00018471,$13.25,$7.29,$12.33,$18.00,4,14,3,7,68,21
00018498,$11.00,$9.00,$11.00,$20.00,3,4,3,3,29,16
00018508,$6.25,$6.67,$5.00,$10.00,4,6,1,1,40,18
00018543,$11.60,$9.09,$11.50,$14.00,5,11,4,6,87,17
00018534,$25.00,$25.00,,$25.00,1,1,0,0,16,16
00018559,$9.00,$6.29,$11.00,$8.00,2,14,1,8,112,18
00019789,$10.00,$10.00,,$10.00,2,3,0,0,24,19
00018581,$12.00,$4.63,,$12.00,1,16,0,10,124,18
00018585,$25.67,$10.37,$25.00,$27.00,3,19,1,13,130,18
00018584,$14.00,$10.60,$14.00,$14.00,1,10,1,6,130,21
00018610,$6.50,$6.45,$7.00,$10.00,4,20,3,10,123,17
00018611,$5.00,$4.36,$5.00,$5.00,6,28,4,20,127,23
00018607,$17.00,$7.77,,$17.00,1,13,0,8,125,26
00018609,$20.00,$14.00,$20.00,$20.00,1,8,1,6,128,23
00019623,$8.20,$6.53,$8.20,$10.00,5,15,5,10,62,18
00018802,$20.00,$14.50,$20.00,$20.00,2,6,1,4,87,16
00018640,$11.67,$11.25,$15.00,$15.00,3,4,1,1,28,19
00018657,$12.67,$8.40,$12.50,$13.00,3,20,2,12,112,16
00018664,$20.00,$20.00,$20.00,$20.00,1,1,1,1,17,17
00018676,$10.00,$9.26,$10.00,$10.00,3,19,3,18,130,21
00018694,$15.00,$6.14,,$15.00,1,7,0,2,81,26
00018700,$10.67,$10.50,$12.00,$10.00,3,14,1,7,130,18
00018732,$5.50,$4.23,$7.00,$7.00,4,13,1,8,125,17
00018740,$13.67,$13.67,$13.67,$15.00,3,3,3,3,29,21
00018757,$10.14,$7.95,$10.20,$11.00,7,19,5,12,69,25
00018753,$35.00,$35.00,,$50.00,1,3,0,1,57,18
00018761,$12.50,$9.08,$12.50,$14.00,4,12,2,6,76,22
00018750,$13.33,$12.50,$12.50,$15.00,3,6,2,3,53,25
00018770,$10.00,$7.86,$10.00,$10.00,4,7,1,2,62,15
00187750,$8.75,$10.83,$7.50,$10.00,4,12,2,7,53,18
00187691,$5.20,$4.22,$5.00,$6.00,5,9,2,5,44,18
00018787,$18.00,$15.00,$18.00,$15.00,1,7,1,2,62,18
00018817,$6.50,$6.00,$7.50,$10.00,4,5,2,2,33,17
00018836,$20.00,$10.89,$25.00,$25.00,2,9,1,5,128,20
00021176,$15.00,$15.00,$15.00,$20.00,2,2,2,2,29,20
00018896,$13.25,$11.60,$15.50,$12.00,4,5,2,3,41,18
00018952,$15.00,$12.00,$15.00,$15.00,1,10,1,6,105,16
00018953,$10.00,$7.33,$11.33,$11.00,6,15,3,11,113,17
00190387,$25.00,$18.33,$25.00,$25.00,1,3,1,2,43,19
00019020,$17.00,$16.20,$17.00,$10.00,3,5,2,3,41,15
00025214,$15.00,$12.00,,$15.00,2,6,0,3,57,25
00019068,$15.00,$11.29,$15.00,$15.00,4,14,3,8,111,26
00019071,$5.10,$5.00,$5.14,$5.00,10,35,7,21,126,17
00019129,$11.33,$11.33,$10.00,$10.00,3,9,1,5,81,17
00014598,$27.50,$20.17,,$26.00,2,24,0,6,126,5
00056773,$10.14,$8.71,$11.50,$5.00,7,14,4,7,56,20
00019214,$16.00,$9.73,$15.00,$17.00,2,11,1,9,126,25
00019208,$18.00,$11.08,$20.00,$20.00,3,12,1,4,80,15
00190777,$15.00,$10.20,$10.00,$10.00,2,5,1,3,44,19
00019235,$20.00,$15.33,,$20.00,1,6,0,2,79,20
00019241,$9.33,$5.00,,$10.00,3,14,0,6,122,19
00019260,$13.00,$8.00,$16.00,$16.00,2,4,1,2,74,16
00187343,$12.50,$15.00,$12.50,$15.00,2,3,2,3,24,15
00019284,$21.00,$19.50,$17.00,$25.00,3,4,1,2,56,19
00019324,$26.67,$19.71,$26.67,$6.00,3,7,3,4,69,15
00019323,$42.00,$31.75,$42.00,$42.00,1,4,1,2,65,24
00190112,$8.00,$8.00,$7.50,$10.00,5,5,4,4,32,16
00019363,$16.43,$15.60,$16.33,$10.00,7,10,3,4,41,18
00019491,$15.00,$8.00,,$15.00,1,15,0,9,128,20
00019418,$25.00,$16.40,$25.00,$25.00,1,5,1,3,75,18
00019402,$8.75,$7.80,$8.33,$10.00,4,5,3,3,33,18
00019490,$10.00,$10.43,$10.00,$10.00,3,14,1,8,129,18
00019495,$20.00,$20.00,$20.00,$20.00,1,1,1,1,17,17
00019498,$21.00,$21.00,$20.00,$22.00,2,2,1,1,28,17
00010211,$0.00,$15.58,,$10.00,0,12,0,5,99,4
00019510,$13.00,$11.00,$15.00,$15.00,2,4,1,2,105,16
00039972,$17.00,$16.00,,$17.00,1,2,0,1,41,26
00019573,$9.50,$9.00,$9.50,$10.00,6,10,6,7,45,17
00019581,$25.00,$6.65,$25.00,$25.00,2,34,1,17,124,20
00019608,$9.50,$7.00,$9.33,$10.00,4,17,3,11,127,18
00019621,$14.33,$12.00,$12.00,$19.00,3,4,2,2,44,15
00019641,$17.50,$17.50,,$25.00,2,2,0,0,27,19
00019664,$18.00,$18.00,$18.00,$21.00,2,2,2,2,24,17
00019662,$20.00,$20.00,$20.00,$20.00,1,1,1,1,20,20
00019686,$11.00,$8.45,$11.50,$11.00,4,11,2,6,105,19
00019680,$6.00,$5.33,,$7.00,4,6,0,1,68,18
00018948,$15.50,$13.40,$15.50,$15.00,2,15,2,7,81,24
00019739,$24.00,$16.63,,$25.00,3,8,0,3,77,18
00185254,$15.00,$12.20,,$20.00,1,10,0,4,85,4
00019751,$8.50,$8.00,$9.00,$6.00,4,5,2,2,32,15
00019779,$23.33,$17.63,$30.00,$30.00,3,8,1,4,80,17
00019499,$25.00,$22.50,$25.00,$25.00,1,2,1,1,31,16
00016785,$25.00,$25.00,$25.00,$25.00,1,1,1,1,20,20
00019843,$17.50,$10.92,$17.50,$15.00,2,12,2,10,105,23
00019864,$5.67,$5.29,$5.00,$7.00,6,7,3,3,40,18
00019856,$30.00,$30.00,$10.00,$50.00,2,2,1,1,29,18
00019891,$18.67,$13.50,$21.00,$20.00,3,6,1,3,67,18
00019947,$11.33,$11.00,$14.00,$5.00,3,6,1,2,52,19
00019976,$11.00,$5.83,$11.00,$11.00,1,18,1,13,122,16
00020031,$50.00,$50.00,$50.00,$50.00,1,1,1,1,17,17
00019992,$15.00,$8.83,,$15.00,1,6,0,5,80,18
00020015,$21.00,$13.38,,$21.00,1,8,0,2,63,23
00020008,$20.00,$13.33,,$20.00,1,3,0,1,41,21
00019961,$13.33,$11.25,,$15.00,3,4,0,1,41,15
00020065,$32.00,$20.86,,$24.00,2,7,0,3,77,25
00020029,$15.00,$15.00,,$15.00,1,1,0,0,16,16
00020106,$12.00,$12.00,$12.00,$14.00,4,4,3,3,35,17
00020110,$8.50,$6.83,$8.00,$10.00,4,12,1,3,62,19
00020130,$4.40,$2.43,$3.00,$10.00,5,21,2,11,130,20
00021401,$32.50,$23.13,,$50.00,2,16,0,7,111,18
00020167,$18.33,$18.33,$18.33,$25.00,3,3,3,3,35,17
00020178,$25.67,$25.67,$25.00,$25.00,3,3,2,2,23,16
00020188,$5.00,$3.90,$5.00,$5.00,3,31,3,12,81,23
00020194,$6.20,$6.20,$6.00,$7.00,5,5,4,4,28,15
00020237,$13.00,$6.27,,$13.00,1,15,0,12,129,26
00019986,$10.00,$9.00,$10.00,$10.00,5,8,3,5,45,16
00020302,$4.88,$3.82,$5.00,$3.00,8,34,6,17,93,15
00020341,$7.40,$7.23,$7.00,$7.00,5,13,2,8,99,15
00024330,$8.00,$8.00,$8.50,$7.00,4,4,2,2,32,15
00020338,$8.00,$8.64,,$11.00,2,11,0,5,113,16
00020334,$13.00,$9.80,$12.00,$14.00,3,5,2,4,73,16
00190410,$10.00,$8.68,$9.50,$9.00,4,41,2,24,112,23
00187318,$12.50,$12.50,$12.50,$15.00,2,2,2,2,24,20
00147529,$27.50,$25.00,$30.00,$25.00,2,8,1,4,104,25
00014752,$11.00,$13.20,$10.00,$12.00,2,20,1,8,108,26
00020401,$22.50,$16.17,$22.50,$20.00,2,6,2,4,57,26
00020424,$14.00,$9.78,$17.00,$14.00,3,9,1,6,113,19
00020407,$0.00,$25.00,,$25.00,0,1,0,0,23,23
00145899,$14.00,$14.00,$20.00,$20.00,3,3,1,1,32,21
00020438,$7.33,$7.14,$7.50,$10.00,6,7,2,2,33,15
00020445,$22.50,$17.60,,$25.00,2,5,0,2,68,16
00023978,$3.78,$4.93,$3.75,$4.00,9,29,8,15,79,18
00020083,$6.50,$6.17,$6.50,$11.00,4,6,4,4,29,21
00020488,$9.33,$6.22,$9.00,$10.00,3,18,2,10,67,16
00006777,$18.50,$10.47,$18.00,$16.00,2,60,1,18,111,17
00020522,$15.00,$15.00,$15.00,$15.00,1,1,1,1,17,17
00020583,$12.00,$8.13,$11.67,$13.00,4,15,3,8,111,18
00020533,$18.00,$15.75,$18.00,$19.00,3,4,3,3,37,21
00020573,$25.00,$20.00,,$25.00,1,3,0,1,53,23
00185114,$162.50,$96.79,$125.00,$100.00,2,39,1,11,111,6
00020595,$16.50,$14.75,,$15.00,2,4,0,1,56,18
00003873,$33.75,$21.35,$33.75,$35.00,4,26,4,13,111,22
00020612,$10.67,$7.75,$6.00,$20.00,3,8,2,4,52,25
00020625,$15.00,$12.00,,$15.00,3,6,0,0,56,20
00020631,$9.60,$7.36,$7.67,$15.00,5,11,3,6,56,15
00020641,$20.00,$20.00,,$20.00,1,1,0,0,16,16
00020645,$10.00,$11.33,,$10.00,1,12,0,6,82,25
00185957,$12.00,$11.74,$12.33,$25.00,4,19,3,8,91,10
00020697,$15.50,$12.00,$20.00,$20.00,2,3,1,2,45,19
00020691,$7.50,$7.00,$7.50,$10.00,2,3,2,2,21,17
00020714,$12.50,$10.00,$12.50,$15.00,2,3,2,3,41,18
00020721,$10.00,$8.50,$10.00,$11.00,5,12,4,8,67,17
00020722,$62.00,$40.67,$62.00,$62.00,1,6,1,5,128,17
00005852,$10.00,$9.60,$10.00,$10.00,4,20,3,9,102,10
00020752,$12.00,$8.53,$13.00,$13.00,4,15,1,9,107,18
00020780,$19.00,$16.24,$20.00,$20.00,3,17,1,7,111,25
00020773,$5.00,$4.91,$5.00,$5.00,8,22,7,13,64,22
00020769,$4.80,$5.00,$4.33,$5.00,5,6,3,3,33,18
00020779,$11.00,$14.29,$3.00,$15.00,3,7,1,3,71,16
00020801,$10.67,$10.67,$10.00,$10.00,3,3,2,2,23,17
00020802,$15.00,$15.00,$15.00,$15.00,1,1,1,1,24,24
00020821,$10.40,$12.21,$10.67,$10.00,5,14,3,7,89,20
00020853,$9.40,$6.88,$9.40,$11.00,5,16,5,12,130,15
00020848,$14.50,$9.93,$15.00,$16.00,4,14,3,12,88,17
00020889,$9.67,$8.20,$9.00,$11.00,3,5,1,2,56,19
00020962,$15.00,$15.00,$15.00,$15.00,1,1,1,1,23,23
00020966,$18.75,$19.00,$18.33,$20.00,4,5,3,4,41,26
00020972,$25.00,$16.67,,$30.00,2,6,0,2,66,18
00020997,$6.10,$6.08,$6.00,$6.00,10,12,7,7,42,16
00021003,$16.20,$12.22,$13.67,$10.00,5,9,3,6,75,15
00020846,$60.00,$41.67,$100.00,$20.00,2,3,1,2,41,19
00021133,$7.63,$7.00,$8.00,$7.00,8,11,4,4,40,15
00021034,$14.00,$14.33,$10.00,$18.00,2,3,1,1,29,18
00021042,$5.88,$5.08,$5.50,$6.00,8,12,4,6,76,20
00021107,$10.00,$8.78,$10.00,$10.00,2,18,1,13,130,24
00021097,$15.00,$15.00,$20.00,$20.00,2,2,1,1,32,21
00021135,$6.25,$7.24,$8.00,$5.00,4,34,1,16,111,16
00021144,$6.25,$6.31,$6.43,$8.00,8,32,7,22,120,17
00190778,$8.33,$7.00,,$10.00,3,5,0,1,74,18
00021204,$8.33,$6.41,$9.00,$11.00,6,22,5,10,98,17
00021235,$25.00,$15.40,,$25.00,1,5,0,1,76,27
00021244,$12.00,$10.31,$12.00,$12.00,5,13,2,7,85,19
00021259,$10.00,$12.48,,$10.00,1,23,0,11,130,15
00000142,$10.00,$6.00,$10.00,$10.00,7,31,5,14,129,22
00021305,$7.50,$8.33,$7.50,$10.00,2,3,2,2,21,15
00021577,$15.00,$10.50,$15.00,$15.00,2,4,1,2,56,22
00021587,$5.71,$5.23,$6.25,$5.00,7,13,4,7,79,17
00021335,$10.00,$6.92,,$10.00,2,13,0,8,126,20
00021341,$18.67,$16.44,$18.67,$17.00,6,9,6,7,41,16
00021353,$15.00,$9.00,$15.00,$3.00,1,2,1,1,17,15
00021386,$9.83,$7.83,$10.20,$15.00,6,12,5,7,63,17
00021390,$13.71,$11.36,$14.33,$20.00,7,14,3,7,67,17
00021389,$25.00,$11.67,,$25.00,1,6,0,2,68,20
00021373,$5.50,$5.17,$5.50,$5.00,4,6,4,5,27,16
00021375,$17.50,$20.00,$10.00,$25.00,2,3,1,1,29,17
00021414,$10.00,$6.88,$10.00,$10.00,2,16,1,11,128,23
00004340,$25.00,$18.09,,$25.00,1,22,0,4,122,18
00009945,$0.00,$14.17,,$20.00,0,6,0,2,69,26
00021468,$5.67,$3.93,$5.60,$5.00,6,29,5,19,122,17
00001012,$15.43,$12.21,$16.60,$13.00,7,28,5,17,122,5
00021463,$10.67,$9.25,$10.00,$12.00,3,8,2,4,113,18
00190326,$10.00,$5.58,$10.00,$10.00,2,12,2,9,89,21
00190157,$14.00,$9.86,$16.00,$16.00,3,7,1,3,45,15
00062585,$14.00,$14.00,$3.00,$25.00,2,2,1,1,29,15
