driver_id,CAR_USE,DISTANCE,VEHICLE_AGE,VEHICLE_TYPE,VEHICLE_VAL,MVR_PTS,REVOKED
1059327563,Private,76,16,Pickup,"$7,890",0,No
1060099873,Commercial,66,13,Pickup,"$5,760",10,No
1061339978,Private,74,21,Sports Car,"$16,090",2,No
1062272117,Private,75,14,Van,"$16,820",4,No
1062828440,Private,63,3,Minivan,"$14,620",4,No
1063047526,Private,93,21,unknown,"$11,220",5,No
1063309939,Private,83,11,unknown,"$20,230",4,No
1064512463,Private,97,3,unknown,"$7,340",2,No
1064908942,Private,60,3,unknown,"$15,800",2,No
1065747995,Private,81,14,Minivan,"$16,030",4,No
1065863103,Private,67,3,Sports Car,"$17,570",2,No
1066129578,Private,66,3,Minivan,"$4,200",0,No
1066263418,Private,82,3,unknown,"$6,050",3,No
1066536251,Private,80,9,unknown,"$8,440",0,No
1067439867,Private,71,3,Sports Car,"$6,200",6,No
1067766349,Private,91,11,Minivan,"$8,180",2,Yes
1068368174,Commercial,58,,Panel Truck,"$26,630",3,No
1069610620,Commercial,71,16,Van,"$27,790",0,No
1071719714,Private,72,8,unknown,"$8,310",2,No
1072377917,Private,83,6,unknown,"$13,070",2,No
1073498425,Private,74,,Minivan,"$16,490",1,No
1074011695,Commercial,75,14,Panel Truck,"$22,620",7,No
1075578950,Private,71,13,Pickup,"$10,550",8,No
1076508591,Commercial,66,15,Panel Truck,"$30,390",4,No
1076708745,Private,78,3,Minivan,"$14,650",2,Yes
1077797935,Private,101,10,Sports Car,"$7,090",0,No
1078367290,Commercial,94,12,Minivan,"$14,760",5,No
1078750120,Private,74,10,Sports Car,"$6,480",2,No
1078792399,Commercial,75,22,Panel Truck,"$36,030",3,No
1078808998,Private,68,12,Sports Car,"$8,810",1,No
1079144303,Commercial,101,22,Van,"$19,030",1,Yes
1079667446,Private,54,19,Sports Car,"$35,810",3,No
1079769438,Private,78,7,Minivan,"$12,420",4,No
1080065187,Private,55,15,Minivan,"$22,920",0,No
1080231079,Commercial,60,,Panel Truck,"$32,280",4,No
1080278577,Commercial,122,10,Sports Car,"$17,240",5,No
1080420827,Commercial,64,3,Van,"$20,380",7,No
1081517606,Commercial,135,7,Pickup,"$9,650",2,No
1081630766,Commercial,50,14,unknown,"$7,520",0,No
1083387283,Commercial,89,15,Panel Truck,"$39,130",0,No
1083661421,Private,106,3,Pickup,"$27,310",2,Yes
1083786618,Private,66,3,Sports Car,"$17,340",3,No
1083794001,Private,51,17,Minivan,"$22,420",2,No
1084209798,Commercial,88,14,Minivan,"$13,270",2,No
1084324990,Private,89,3,Pickup,"$5,430",0,No
1085189799,Private,59,10,unknown,"$20,140",7,No
1085590842,Commercial,77,13,unknown,"$10,010",6,No
1085602325,Commercial,56,3,Panel Truck,"$28,600",3,No
1087682671,Private,85,3,unknown,"$5,600",5,No
1087842488,Private,88,3,Sports Car,"$7,440",10,Yes
1088803075,Private,53,15,Pickup,"$23,970",0,No
1089036345,Commercial,72,15,Van,"$20,040",2,No
1089446973,Private,58,11,Minivan,"$23,250",2,No
108960939,Private,75,16,Minivan,"$22,040",2,No
1091113309,Private,78,15,Minivan,"$20,510",0,No
1091565534,Private,77,3,unknown,"$13,250",2,Yes
1091807092,Private,84,3,unknown,"$14,000",6,No
1091868234,Private,73,,Pickup,"$21,450",2,No
1092587705,Private,56,11,Minivan,"$12,890",2,No
1093230808,Private,54,8,Minivan,"$1,500",11,No
1093457635,Private,82,10,Minivan,"$22,280",2,No
1095764075,Commercial,74,3,Van,"$20,220",7,No
1096551388,Commercial,85,3,Pickup,"$6,300",7,Yes
1097324060,Private,90,3,Minivan,"$8,870",2,No
1098298730,Private,79,11,Minivan,"$17,750",2,No
1098925462,Private,90,20,unknown,"$14,680",3,No
1099701551,Private,70,17,unknown,"$15,450",0,No
1100026940,Commercial,95,16,Panel Truck,"$30,300",1,No
1100158845,Commercial,78,13,Van,"$33,210",5,No
1100974979,Private,69,18,Minivan,"$22,770",1,No
1101120320,Private,51,,Minivan,"$24,360",0,No
1102530344,Commercial,92,9,Pickup,"$12,100",8,No
110254462,Commercial,50,3,Pickup,"$7,300",7,No
1102557115,Commercial,56,3,unknown,"$21,330",0,No
1103080240,Private,52,12,Minivan,"$14,630",3,No
1103234131,Private,86,15,unknown,"$1,500",8,No
1104153228,Private,83,9,Pickup,"$26,370",2,Yes
1105450332,Commercial,58,19,Panel Truck,"$32,660",2,No
1105468771,Private,92,18,Sports Car,"$1,500",4,No
1105614169,Private,76,5,unknown,"$8,560",7,No
1107254368,Commercial,59,19,Panel Truck,"$24,440",3,No
1107347662,Private,50,13,Minivan,"$29,550",5,No
1107631506,Commercial,102,3,Minivan,"$6,000",0,No
1109406172,Private,116,10,Van,"$18,950",4,No
1112310185,Private,67,19,Minivan,"$13,110",3,No
1112364964,Private,64,11,Van,"$16,780",0,Yes
1112951018,Private,51,18,Minivan,"$24,510",2,No
1113293408,Commercial,64,19,Van,"$22,450",2,No
1113588152,Commercial,100,21,Panel Truck,"$25,350",2,No
1115266076,Private,74,9,Minivan,"$15,370",5,No
1115390671,Private,57,19,unknown,"$8,920",0,Yes
1117023718,Private,73,3,Pickup,"$10,430",4,No
1118179914,Private,67,8,Minivan,"$15,340",1,No
1118485288,Private,55,3,unknown,"$15,420",8,No
1118596450,Private,94,7,unknown,"$9,590",6,No
1118640422,Private,87,12,Van,"$18,760",6,No
1119240299,Commercial,85,3,unknown,"$15,610",2,No
1120196373,Commercial,71,3,Van,"$19,260",7,No
1121236430,Private,80,3,Sports Car,"$8,930",2,No
112141123,Private,107,9,unknown,"$16,430",8,No
1121639713,Private,120,3,unknown,"$11,690",0,Yes
1123979129,Commercial,70,10,Van,"$16,300",1,No
1124372908,Private,90,21,Minivan,"$15,520",0,No
1124578846,Private,50,11,unknown,"$8,770",3,No
1125357151,Private,93,3,Pickup,"$6,600",3,Yes
1126028862,Commercial,87,11,Minivan,"$14,370",4,No
1126362593,Commercial,89,14,Minivan,"$19,620",3,No
1127174493,Private,50,6,Sports Car,"$11,030",2,No
1128028001,Commercial,84,8,Van,"$30,060",3,No
1129361162,Private,85,11,unknown,"$5,600",10,No
1129423738,Private,50,9,unknown,"$1,500",5,No
1129441212,Commercial,69,12,Pickup,"$15,860",5,No
11300316,Commercial,67,11,Sports Car,"$25,060",6,No
1130247543,Private,70,3,unknown,"$11,740",4,No
1130565255,Commercial,90,14,unknown,"$2,790",0,No
1131512804,Commercial,74,10,Panel Truck,"$23,760",6,No
1131580126,Commercial,90,9,Van,"$21,380",7,No
1131863460,Private,72,13,Van,"$19,480",0,No
113455951,Private,91,13,Minivan,"$14,300",3,No
1134923139,Private,80,16,Sports Car,"$15,000",1,No
1135334185,Commercial,77,3,Van,"$16,360",5,Yes
1135402317,Private,88,6,unknown,"$9,730",8,No
1135540307,Private,91,15,Sports Car,"$10,560",3,No
1135594700,Private,76,8,unknown,"$9,760",8,Yes
1135736785,Private,73,,unknown,"$9,430",2,No
1135778687,Commercial,77,11,unknown,"$11,770",4,No
1136204374,Commercial,70,9,Pickup,"$26,750",4,No
1137843617,Private,65,3,Minivan,"$25,160",0,No
1138196627,Commercial,62,11,Pickup,"$9,860",6,No
1139261489,Private,83,3,Pickup,"$5,950",2,Yes
1139768159,Private,87,3,unknown,"$24,320",2,No
1139987138,Commercial,93,3,Panel Truck,"$26,460",7,No
1140109155,Private,66,15,Minivan,"$17,430",3,No
114228760,Private,73,3,Minivan,"$3,910",3,No
1142476636,Private,78,6,Sports Car,"$7,440",6,Yes
1143002372,Commercial,58,12,Panel Truck,"$24,000",4,No
1143364326,Private,83,8,unknown,"$13,330",4,Yes
1143472357,Commercial,79,14,Minivan,"$14,350",1,No
1144056828,Private,66,20,Minivan,"$30,490",6,No
1144163880,Private,97,14,unknown,"$6,430",8,No
1149495359,Commercial,94,9,unknown,"$14,920",2,No
1151044043,Private,58,16,Minivan,"$29,040",2,No
1151110454,Commercial,63,20,Panel Truck,"$30,500",2,No
1151121622,Private,90,8,Minivan,"$37,080",0,Yes
1151210172,Private,71,11,unknown,"$17,050",0,No
1152166602,Commercial,80,8,Minivan,"$5,000",2,No
1152985763,Commercial,73,17,Panel Truck,"$23,780",7,Yes
1153394917,Commercial,95,12,Minivan,"$18,870",4,No
1153443734,Private,83,,Sports Car,"$10,810",3,Yes
1154779269,Private,105,3,Minivan,"$10,050",0,No
1155316935,Private,80,3,Minivan,"$16,990",2,Yes
1155409624,Private,94,15,unknown,"$15,350",4,No
1155483561,Private,85,3,Sports Car,"$1,670",4,No
1156490895,Commercial,70,16,unknown,"$20,390",0,No
1156614068,Private,71,13,unknown,"$7,760",7,No
1156828824,Private,58,10,Minivan,"$13,320",0,No
1157466871,Private,78,3,unknown,"$12,950",5,Yes
1157816996,Private,50,8,Sports Car,"$4,900",7,No
1157904428,Commercial,68,10,Van,"$17,410",3,No
1157912242,Private,75,3,unknown,"$10,160",6,No
1158253939,Commercial,73,13,Panel Truck,"$23,470",5,No
1159169707,Private,66,12,Van,"$35,830",2,No
1159983634,Private,82,3,Sports Car,"$12,760",4,No
1160059149,Private,85,3,unknown,"$9,030",2,No
1162623256,Private,103,,unknown,"$10,720",2,Yes
1162961680,Private,101,12,Minivan,"$23,710",0,No
1162990624,Commercial,98,3,Pickup,"$6,270",2,No
1163109105,Private,50,,Sports Car,"$13,890",3,No
1163507638,Private,63,18,Minivan,"$20,290",2,No
1163521485,Private,80,10,Minivan,"$9,440",2,No
1163615897,Private,53,,unknown,"$11,580",1,No
1164107853,Private,109,16,unknown,"$19,550",7,No
1164181967,Commercial,78,17,Panel Truck,"$25,510",3,No
1164313369,Commercial,60,13,Van,"$18,700",3,No
1165692271,Private,76,9,Sports Car,"$1,500",6,No
1169101332,Commercial,75,3,Minivan,"$17,680",8,No
1169468645,Commercial,97,9,Sports Car,"$6,790",2,Yes
1169852409,Private,74,3,Sports Car,"$8,350",4,No
1170404201,Private,72,10,Pickup,"$17,670",0,No
1170784648,Commercial,81,12,Minivan,"$15,120",7,No
1171499986,Commercial,61,3,unknown,"$14,670",2,Yes
1171544684,Commercial,79,3,Van,"$17,270",4,No
1171557509,Private,50,19,Sports Car,"$13,250",2,No
1171701350,Private,58,15,Van,"$21,730",0,Yes
117236574,Private,67,,Pickup,"$10,960",6,No
1172850307,Private,101,16,Minivan,"$14,620",0,No
1172976839,Private,55,12,Minivan,"$14,640",2,No
1173825222,Private,91,6,Minivan,"$15,020",0,No
1174175273,Private,64,,Pickup,"$10,560",2,No
1174435159,Private,69,3,Sports Car,"$7,090",2,No
1174566878,Private,69,12,Pickup,"$13,140",4,No
1174973298,Commercial,74,,Van,"$20,660",7,No
1175031688,Private,68,3,unknown,"$19,450",0,No
1175242299,Commercial,77,3,Panel Truck,"$22,950",4,No
1175638867,Private,74,3,unknown,"$21,930",2,No
1176000276,Commercial,50,3,Pickup,"$5,580",13,Yes
1177237180,Private,74,9,Sports Car,"$5,700",6,No
1178431070,Commercial,80,3,Pickup,"$11,610",2,Yes
1178444107,Private,61,7,Sports Car,"$4,900",2,No
1179461686,Private,50,3,unknown,"$6,710",2,No
1179855939,Commercial,59,7,Minivan,"$15,090",4,No
1180142360,Private,85,3,unknown,"$27,910",5,No
1181558662,Private,87,14,Sports Car,"$10,770",1,No
1182248594,Private,94,8,Minivan,"$18,760",4,No
1182473847,Commercial,54,18,Pickup,"$12,080",2,No
1183567585,Commercial,76,3,unknown,"$17,580",4,No
1183916966,Private,73,17,Van,"$18,130",0,No
1183998972,Commercial,70,11,Panel Truck,"$24,660",2,No
1184984736,Private,114,17,Pickup,"$17,040",1,No
1185103229,Commercial,85,15,Pickup,"$9,290",4,No
1185105172,Private,86,8,unknown,"$28,920",1,No
1185816790,Private,99,9,Pickup,"$9,210",2,No
1187170048,Commercial,62,3,Sports Car,"$7,300",4,No
1187884756,Private,100,12,unknown,"$15,800",3,No
1188766609,Private,73,15,Minivan,"$17,640",5,No
1189252099,Commercial,72,3,unknown,"$14,850",3,No
1190037132,Private,60,8,Sports Car,"$5,800",9,No
1190752694,Private,87,3,unknown,"$41,830",3,No
1190920714,Commercial,69,6,Pickup,"$12,180",4,No
1191055035,Private,99,3,unknown,"$11,620",2,No
1191874574,Private,104,10,unknown,"$8,370",3,No
1192630883,Private,71,3,Van,"$16,890",5,No
1194450521,Private,77,3,Sports Car,"$18,960",8,No
1194500279,Private,67,7,Sports Car,"$7,970",2,No
1194828452,Private,57,9,Sports Car,"$4,230",1,No
1195338017,Private,95,11,unknown,"$5,000",6,No
1196846175,Commercial,82,10,Pickup,"$34,150",2,No
1197152350,Commercial,50,10,Van,"$19,330",3,Yes
1197377599,Commercial,54,3,Van,"$34,510",0,No
1199005237,Commercial,76,9,Sports Car,"$1,500",4,No
1199246747,Commercial,81,15,Pickup,"$7,180",5,No
1199525065,Private,69,7,unknown,"$12,180",2,No
119982661,Private,90,13,Minivan,"$13,420",0,No
1199910904,Commercial,65,17,Van,"$20,800",3,No
1200170476,Private,67,7,Sports Car,"$4,320",2,Yes
1201601270,Private,106,8,unknown,"$20,020",0,No
1202303318,Private,73,3,unknown,"$10,610",2,No
1203697578,Private,59,3,Minivan,"$14,970",5,No
1204387420,Private,96,3,unknown,"$10,830",2,No
1204991878,Private,76,11,Minivan,"$2,230",5,No
1206101974,Commercial,50,11,Pickup,"$26,970",4,No
1206115200,Private,100,20,Minivan,"$21,280",5,No
1207342844,Private,59,11,Minivan,"$14,990",1,No
1211304198,Commercial,78,14,Minivan,"$3,830",2,No
1212436904,Commercial,99,12,Pickup,"$11,480",6,No
1212891708,Private,82,20,unknown,"$11,600",9,No
1213455786,Commercial,71,10,Pickup,"$4,960",0,Yes
1214013504,Private,96,3,unknown,"$1,720",7,No
1214146191,Private,63,,Van,"$19,730",2,No
1214184894,Commercial,75,3,unknown,"$14,130",3,No
1215262601,Private,92,8,Minivan,"$14,810",0,No
1215457389,Private,94,19,unknown,"$18,500",5,No
1215626699,Private,64,7,Pickup,"$7,090",2,No
1215717887,Private,50,20,Pickup,"$11,320",0,No
1216002917,Commercial,77,15,Pickup,"$12,030",0,Yes
1216199583,Private,79,10,Minivan,"$4,110",2,Yes
1216830175,Private,99,11,unknown,"$6,140",1,No
121741665,Commercial,96,10,Panel Truck,"$27,330",2,No
1217857795,Commercial,106,11,Pickup,"$27,640",2,No
1217875346,Private,88,3,Minivan,"$14,430",0,No
1217958236,Commercial,87,11,Minivan,"$27,990",0,No
1218354727,Commercial,68,7,Pickup,"$7,200",2,No
1218473963,Private,84,20,Minivan,"$12,800",0,No
1218884546,Private,74,3,Sports Car,"$5,000",2,Yes
1220729601,Commercial,90,3,Pickup,"$10,330",4,Yes
1220819458,Commercial,97,14,Van,"$35,960",5,No
1220915504,Private,52,16,unknown,"$14,020",0,Yes
1221256545,Private,86,12,Pickup,"$11,390",4,No
1224390713,Private,88,3,unknown,"$6,830",5,No
1224931661,Private,67,17,Sports Car,"$15,520",4,No
1226657426,Private,50,,unknown,"$10,270",3,No
1227505429,Commercial,67,9,unknown,"$10,770",7,No
1227899219,Private,50,12,unknown,"$4,010",7,No
1227973412,Private,81,13,Minivan,"$22,440",0,No
1228716771,Commercial,54,3,unknown,"$6,840",2,Yes
1229807796,Commercial,52,12,unknown,"$5,400",4,No
1230013384,Private,103,,Minivan,"$15,120",4,No
1232249114,Private,96,3,unknown,"$9,750",7,No
1233663072,Private,100,17,Minivan,"$1,500",0,No
1234358280,Private,116,9,Sports Car,"$11,820",2,No
1236417457,Commercial,68,14,Panel Truck,"$23,420",0,Yes
1237230898,Commercial,77,3,Pickup,"$24,510",3,Yes
1237236988,Commercial,93,3,Panel Truck,"$24,340",2,No
1237625976,Commercial,70,13,unknown,"$8,010",9,No
1238087822,Private,97,,Pickup,"$20,270",1,No
1238155004,Private,87,16,Sports Car,"$17,780",4,No
1240243347,Private,88,,Van,"$21,530",4,No
1240651402,Private,85,3,unknown,"$7,840",6,No
1241041302,Commercial,90,20,Van,"$22,160",6,Yes
1241096732,Private,91,22,Minivan,"$15,280",0,No
1241444169,Private,76,11,unknown,"$28,360",0,No
1241801491,Private,71,19,unknown,"$17,090",4,No
1242080232,Private,75,14,Sports Car,"$29,910",8,No
1242736337,Private,71,14,unknown,"$12,220",3,No
1243206207,Commercial,142,,Van,"$18,610",4,No
1243294055,Private,114,,Minivan,"$21,990",13,No
1245144204,Commercial,81,12,Pickup,"$11,530",3,No
1245228307,Commercial,62,20,Panel Truck,"$30,030",5,No
1246008609,Private,94,20,Minivan,"$9,950",2,No
1247602642,Private,79,3,unknown,"$4,800",3,No
1248383770,Commercial,95,9,Sports Car,"$19,460",2,No
1248439886,Commercial,59,3,Pickup,"$9,640",6,No
1249899201,Private,79,13,Minivan,"$22,360",3,No
1250190676,Private,108,9,Sports Car,"$19,770",0,No
1250214758,Commercial,96,13,Van,"$18,290",5,No
1250956960,Commercial,80,3,Pickup,"$6,100",0,No
1251032498,Commercial,52,7,Van,"$18,650",1,No
1251571669,Commercial,71,9,Minivan,"$13,840",2,No
1251639864,Commercial,74,3,Minivan,"$10,430",2,Yes
1252128839,Commercial,68,12,unknown,"$10,080",2,No
1252402417,Private,85,20,Van,"$19,830",5,No
1252778350,Private,82,18,Van,"$18,650",9,No
1252906706,Private,66,14,unknown,"$2,220",4,Yes
1253420195,Private,69,,unknown,"$23,220",2,No
1255627168,Private,68,7,Sports Car,"$17,800",8,No
1256473500,Commercial,85,3,unknown,"$17,650",3,No
1256578557,Private,97,22,Pickup,"$6,200",4,No
1257764510,Commercial,87,9,Panel Truck,"$26,190",2,No
1258719262,Commercial,70,3,Pickup,"$10,250",2,Yes
1259011413,Private,80,3,Sports Car,"$6,670",0,No
1261820477,Private,69,13,Sports Car,"$19,410",6,No
1262186705,Private,98,19,Pickup,"$12,050",0,Yes
1262726959,Private,102,3,Van,"$17,230",2,No
1262856670,Private,80,3,Sports Car,"$8,810",3,No
126292697,Commercial,71,17,Sports Car,"$7,700",5,No
1263995754,Commercial,91,21,Pickup,"$5,730",0,No
1264604362,Private,74,3,unknown,"$5,100",0,No
1264775501,Private,61,9,unknown,"$11,650",6,No
1264842977,Commercial,66,18,Panel Truck,"$37,960",2,No
1264852001,Commercial,50,3,Pickup,"$9,870",9,No
1265877974,Private,63,17,unknown,"$12,320",2,Yes
1265974957,Private,77,18,Minivan,"$6,200",0,No
1266449677,Private,93,14,Van,"$18,110",3,No
1266548637,Commercial,68,,Van,"$19,080",5,No
1266923991,Commercial,99,11,Pickup,"$10,940",3,No
1267270076,Private,60,5,Sports Car,"$8,610",10,No
1269526287,Private,74,11,unknown,"$20,480",2,No
1269843164,Commercial,109,13,Minivan,"$12,170",2,No
1270427668,Commercial,85,22,Van,"$21,360",2,No
1272101771,Commercial,92,17,Panel Truck,"$46,610",3,No
1272351937,Commercial,96,13,Van,"$16,550",4,No
1273095199,Commercial,90,3,Pickup,"$9,200",12,No
1273122092,Private,69,3,unknown,"$1,500",2,No
1278217677,Private,73,9,Minivan,"$17,480",2,No
1278336645,Private,84,16,Minivan,"$11,340",3,No
1279298997,Private,85,14,Pickup,"$8,840",2,Yes
1280099576,Commercial,68,3,Pickup,"$8,390",2,No
1281427985,Private,76,3,unknown,"$1,500",0,No
1281557641,Commercial,88,16,Panel Truck,"$30,470",0,No
1281801263,Private,78,10,Minivan,"$13,570",2,No
1282831942,Private,62,19,unknown,"$6,200",2,No
1283837470,Private,70,9,Van,"$20,670",8,No
1283878409,Commercial,69,15,Panel Truck,"$23,780",7,No
1284954456,Private,73,13,unknown,"$13,220",2,No
1286250610,Commercial,91,8,unknown,"$11,730",9,No
1287190284,Commercial,65,13,Pickup,"$9,180",1,No
1288236246,Commercial,74,10,Pickup,"$10,980",2,No
1288284325,Commercial,69,8,Van,"$20,250",0,No
1288747727,Private,77,3,unknown,"$11,030",2,No
1288796654,Private,89,17,unknown,"$5,590",0,No
1288921324,Commercial,63,6,Van,"$19,660",8,Yes
1289005089,Private,79,20,unknown,"$7,430",4,No
1290187236,Commercial,74,11,Minivan,"$4,250",2,No
1290477060,Private,56,15,Minivan,"$1,500",0,No
1290834086,Private,84,11,unknown,"$15,590",2,No
1291048173,Commercial,116,15,Pickup,"$10,830",0,No
1291711793,Commercial,73,3,Pickup,"$9,610",12,No
1292056450,Commercial,76,6,Minivan,"$12,530",7,No
1293064471,Private,67,17,Minivan,"$13,850",3,No
1293162317,Commercial,50,7,Pickup,"$10,450",4,No
1294754803,Private,50,3,unknown,"$11,500",2,No
1295265067,Commercial,90,3,Pickup,"$11,890",2,No
1295673035,Commercial,84,10,Minivan,"$14,230",4,No
1296550894,Private,89,12,unknown,"$6,080",0,No
1296583668,Private,84,19,Pickup,"$11,620",0,No
1297111394,Commercial,82,11,Van,"$17,540",4,Yes
1297913111,Commercial,84,3,Minivan,"$14,990",7,No
1298573141,Private,55,13,unknown,"$16,270",4,No
1298587214,Private,94,20,Van,"$21,190",0,No
1299159415,Commercial,96,12,Pickup,"$11,260",4,No
1299567920,Commercial,67,10,Pickup,"$8,620",0,No
1300158645,Private,99,18,unknown,"$7,300",3,No
1300610730,Private,79,3,Pickup,"$7,160",2,No
1300669511,Private,72,3,Sports Car,"$6,710",0,No
1301850369,Commercial,70,3,Pickup,"$7,000",7,No
1302089140,Private,62,3,Pickup,"$8,880",7,No
1302683338,Private,69,3,Sports Car,"$5,540",3,Yes
1303039867,Commercial,81,12,Pickup,"$25,850",2,No
1303070686,Private,72,9,Minivan,"$19,750",1,No
1304287154,Private,66,18,Minivan,"$20,800",2,No
1305576995,Private,68,11,unknown,"$10,570",6,No
1306144855,Commercial,73,9,Sports Car,"$28,890",2,No
1306270968,Commercial,60,8,Minivan,"$6,640",2,No
1307475334,Private,85,10,Sports Car,"$23,080",2,No
1307526289,Commercial,83,9,Minivan,"$12,830",8,No
1307683519,Commercial,50,13,Van,"$18,900",8,No
1308147413,Commercial,88,3,unknown,"$6,510",2,No
1308441942,Private,59,16,unknown,"$8,130",4,No
1309066239,Private,78,20,unknown,"$35,760",0,No
1309359359,Private,61,11,Sports Car,"$4,900",2,No
1309374558,Private,94,14,unknown,"$12,300",6,No
1309529475,Private,103,3,Minivan,"$21,210",7,No
1310393035,Private,66,13,Van,"$34,550",1,No
1310413143,Private,62,3,unknown,"$6,500",2,No
1310986270,Private,60,23,Sports Car,"$17,600",2,No
