Country,Features,Region,Year,Amount,Unit
South Korea,net consumption,Asia & Oceania,2006,364.48528,billion kWh
United Kingdom,net consumption,Europe,2006,348.44823,billion kWh
Italy,net consumption,Europe,2006,313.76748,billion kWh
Mexico,net consumption,North America,2006,196.40852,billion kWh
Saudi Arabia,net consumption,Middle East,2006,156.75,billion kWh
Iran,net consumption,Middle East,2006,146.07354,billion kWh
United States,net consumption,North America,2005,3811.346491,billion kWh
China,net consumption,Asia & Oceania,2005,2196.172,billion kWh
Japan,net consumption,Asia & Oceania,2005,962.937,billion kWh
Russia,net consumption,Eurasia,2005,776.05376,billion kWh
Canada,net consumption,North America,2005,560.37862,billion kWh
Germany,net consumption,Europe,2005,543.7922,billion kWh
India,net consumption,Asia & Oceania,2005,496.732,billion kWh
France,net consumption,Europe,2005,452.11806,billion kWh
Brazil,net consumption,Central & South America,2005,367.88328,billion kWh
United Kingdom,net consumption,Europe,2005,351.07049,billion kWh
South Korea,net consumption,Asia & Oceania,2005,350.19378,billion kWh
Italy,net consumption,Europe,2005,306.6837,billion kWh
Mexico,net consumption,North America,2005,192.27152,billion kWh
Saudi Arabia,net consumption,Middle East,2005,146.978,billion kWh
Iran,net consumption,Middle East,2005,135.19698,billion kWh
United States,net consumption,North America,2004,3716.191051,billion kWh
China,net consumption,Asia & Oceania,2004,1955.39,billion kWh
Japan,net consumption,Asia & Oceania,2004,953.059,billion kWh
Russia,net consumption,Eurasia,2004,765.242,billion kWh
Germany,net consumption,Europe,2004,548.8792,billion kWh
Canada,net consumption,North America,2004,534.064122,billion kWh
India,net consumption,Asia & Oceania,2004,470.993,billion kWh
France,net consumption,Europe,2004,446.95728,billion kWh
Brazil,net consumption,Central & South America,2004,353.29366,billion kWh
United Kingdom,net consumption,Europe,2004,343.05598,billion kWh
South Korea,net consumption,Asia & Oceania,2004,332.92648,billion kWh
Italy,net consumption,Europe,2004,302.0686,billion kWh
Mexico,net consumption,North America,2004,184.40962,billion kWh
Saudi Arabia,net consumption,Middle East,2004,137.355,billion kWh
Iran,net consumption,Middle East,2004,126.99336,billion kWh
United States,net consumption,North America,2003,3662.224009,billion kWh
China,net consumption,Asia & Oceania,2003,1676.829,billion kWh
Japan,net consumption,Asia & Oceania,2003,923.699,billion kWh
Russia,net consumption,Eurasia,2003,744.126,billion kWh
Germany,net consumption,Europe,2003,542.371,billion kWh
Canada,net consumption,North America,2003,528.233048,billion kWh
India,net consumption,Asia & Oceania,2003,442.127,billion kWh
France,net consumption,Europe,2003,435.4392,billion kWh
United Kingdom,net consumption,Europe,2003,342.71895,billion kWh
Brazil,net consumption,Central & South America,2003,336.86862,billion kWh
South Korea,net consumption,Asia & Oceania,2003,312.89178,billion kWh
Italy,net consumption,Europe,2003,294.97176,billion kWh
Mexico,net consumption,North America,2003,172.57702,billion kWh
Saudi Arabia,net consumption,Middle East,2003,136.818,billion kWh
Iran,net consumption,Middle East,2003,119.98682,billion kWh
United States,net consumption,North America,2002,3631.817305,billion kWh
China,net consumption,Asia & Oceania,2002,1459.429,billion kWh
Japan,net consumption,Asia & Oceania,2002,932.99,billion kWh
Russia,net consumption,Eurasia,2002,730.411,billion kWh
Germany,net consumption,Europe,2002,532.51744,billion kWh
Canada,net consumption,North America,2002,513.18464,billion kWh
India,net consumption,Asia & Oceania,2002,420.808,billion kWh
France,net consumption,Europe,2002,418.21038,billion kWh
United Kingdom,net consumption,Europe,2002,339.88031,billion kWh
Brazil,net consumption,Central & South America,2002,318.97716,billion kWh
South Korea,net consumption,Asia & Oceania,2002,296.4001,billion kWh
Italy,net consumption,Europe,2002,290.61424,billion kWh
Mexico,net consumption,North America,2002,174.02456,billion kWh
Saudi Arabia,net consumption,Middle East,2002,123.405,billion kWh
Iran,net consumption,Middle East,2002,109.41404,billion kWh
United States,net consumption,North America,2001,3557.247608,billion kWh
China,net consumption,Asia & Oceania,2001,1314.783,billion kWh
Japan,net consumption,Asia & Oceania,2001,919.667,billion kWh
Russia,net consumption,Eurasia,2001,721.016,billion kWh
Germany,net consumption,Europe,2001,520.1949,billion kWh
Canada,net consumption,North America,2001,505.604054,billion kWh
France,net consumption,Europe,2001,420.4527,billion kWh
India,net consumption,Asia & Oceania,2001,391.979982,billion kWh
United Kingdom,net consumption,Europe,2001,338.5837,billion kWh
Brazil,net consumption,Central & South America,2001,304.48298,billion kWh
Italy,net consumption,Europe,2001,284.27174,billion kWh
South Korea,net consumption,Asia & Oceania,2001,279.25456,billion kWh
Mexico,net consumption,North America,2001,171.14658,billion kWh
Saudi Arabia,net consumption,Middle East,2001,118.078,billion kWh
Iran,net consumption,Middle East,2001,101.70472,billion kWh
United States,net consumption,North America,2000,3592.473307,billion kWh
China,net consumption,Asia & Oceania,2000,1178.033,billion kWh
Japan,net consumption,Asia & Oceania,2000,936.235,billion kWh
Russia,net consumption,Eurasia,2000,717.253,billion kWh
Germany,net consumption,Europe,2000,509.08148,billion kWh
Canada,net consumption,North America,2000,505.225524,billion kWh
France,net consumption,Europe,2000,409.74366,billion kWh
India,net consumption,Asia & Oceania,2000,383.924,billion kWh
United Kingdom,net consumption,Europe,2000,335.61762,billion kWh
Brazil,net consumption,Central & South America,2000,321.99852,billion kWh
Italy,net consumption,Europe,2000,278.36228,billion kWh
South Korea,net consumption,Asia & Oceania,2000,259.54233,billion kWh
Mexico,net consumption,North America,2000,166.51256,billion kWh
Saudi Arabia,net consumption,Middle East,2000,109.489,billion kWh
Iran,net consumption,Middle East,2000,94.35608,billion kWh
United States,net consumption,North America,1999,3483.819094,billion kWh
China,net consumption,Asia & Oceania,1999,1076.767,billion kWh
Japan,net consumption,Asia & Oceania,1999,949.515,billion kWh
Russia,net consumption,Eurasia,1999,688.434,billion kWh
Germany,net consumption,Europe,1999,497.056,billion kWh
Canada,net consumption,North America,1999,490.033692,billion kWh
France,net consumption,Europe,1999,401.221,billion kWh
India,net consumption,Asia & Oceania,1999,365.536,billion kWh
United Kingdom,net consumption,Europe,1999,328.406,billion kWh
Brazil,net consumption,Central & South America,1999,310.61948,billion kWh
Italy,net consumption,Europe,1999,267.354,billion kWh
South Korea,net consumption,Asia & Oceania,1999,212.019,billion kWh
Mexico,net consumption,North America,1999,156.832,billion kWh
Saudi Arabia,net consumption,Middle East,1999,107.131,billion kWh
Iran,net consumption,Middle East,1999,84.623,billion kWh
United States,net consumption,North America,1998,3425.184938,billion kWh
China,net consumption,Asia & Oceania,1998,1017.457,billion kWh
Japan,net consumption,Asia & Oceania,1998,943.324,billion kWh
Russia,net consumption,Eurasia,1998,675.259,billion kWh
Germany,net consumption,Europe,1998,497.445,billion kWh
Canada,net consumption,North America,1998,479.436168,billion kWh
France,net consumption,Europe,1998,393.359,billion kWh
India,net consumption,Asia & Oceania,1998,360.501,billion kWh
United Kingdom,net consumption,Europe,1998,322.783,billion kWh
Brazil,net consumption,Central & South America,1998,302.90687,billion kWh
Italy,net consumption,Europe,1998,260.883,billion kWh
South Korea,net consumption,Asia & Oceania,1998,212.458,billion kWh
Mexico,net consumption,North America,1998,148.949,billion kWh
Saudi Arabia,net consumption,Middle East,1998,108.244,billion kWh
Iran,net consumption,Middle East,1998,77.62,billion kWh
United States,net consumption,North America,1997,3301.927385,billion kWh
China,net consumption,Asia & Oceania,1997,983.495,billion kWh
Japan,net consumption,Asia & Oceania,1997,937.534,billion kWh
Russia,net consumption,Eurasia,1997,689.786,billion kWh
Germany,net consumption,Europe,1997,492.93143,billion kWh
Canada,net consumption,North America,1997,482.487399,billion kWh
France,net consumption,Europe,1997,381.735,billion kWh
India,net consumption,Asia & Oceania,1997,344.504,billion kWh
United Kingdom,net consumption,Europe,1997,315.979,billion kWh
Brazil,net consumption,Central & South America,1997,290.86791,billion kWh
Italy,net consumption,Europe,1997,253.48497,billion kWh
South Korea,net consumption,Asia & Oceania,1997,218.276237,billion kWh
Mexico,net consumption,North America,1997,144.58669,billion kWh
Saudi Arabia,net consumption,Middle East,1997,99.521,billion kWh
Iran,net consumption,Middle East,1997,73.358,billion kWh
United States,net consumption,North America,1996,3253.834756,billion kWh
China,net consumption,Asia & Oceania,1996,920.966,billion kWh
Japan,net consumption,Asia & Oceania,1996,910.51003,billion kWh
Russia,net consumption,Eurasia,1996,700.221,billion kWh
Germany,net consumption,Europe,1996,489.296,billion kWh
Canada,net consumption,North America,1996,473.652624,billion kWh
France,net consumption,Europe,1996,382.65,billion kWh
India,net consumption,Asia & Oceania,1996,323.097,billion kWh
United Kingdom,net consumption,Europe,1996,315.792,billion kWh
Brazil,net consumption,Central & South America,1996,277.74329,billion kWh
Italy,net consumption,Europe,1996,246.033,billion kWh
South Korea,net consumption,Asia & Oceania,1996,199.95062,billion kWh
Mexico,net consumption,North America,1996,132.938,billion kWh
Saudi Arabia,net consumption,Middle East,1996,94.551,billion kWh
Iran,net consumption,Middle East,1996,69.671,billion kWh
United States,net consumption,North America,1995,3164.023808,billion kWh
Japan,net consumption,Asia & Oceania,1995,890.385,billion kWh
China,net consumption,Asia & Oceania,1995,876.577,billion kWh
Russia,net consumption,Eurasia,1995,712.081,billion kWh
Germany,net consumption,Europe,1995,482.523,billion kWh
Canada,net consumption,North America,1995,466.698881,billion kWh
France,net consumption,Europe,1995,367.8385,billion kWh
India,net consumption,Asia & Oceania,1995,318.336,billion kWh
United Kingdom,net consumption,Europe,1995,297.159,billion kWh
Brazil,net consumption,Central & South America,1995,261.50987,billion kWh
Italy,net consumption,Europe,1995,243.676,billion kWh
South Korea,net consumption,Asia & Oceania,1995,180.03793,billion kWh
Mexico,net consumption,North America,1995,125.452,billion kWh
Saudi Arabia,net consumption,Middle East,1995,91.889,billion kWh
Iran,net consumption,Middle East,1995,63.732,billion kWh
United States,net consumption,North America,1994,3080.941273,billion kWh
Japan,net consumption,Asia & Oceania,1994,866.555,billion kWh
China,net consumption,Asia & Oceania,1994,818.535,billion kWh
Russia,net consumption,Eurasia,1994,701.881,billion kWh
Germany,net consumption,Europe,1994,475.055,billion kWh
Canada,net consumption,North America,1994,459.642142,billion kWh
France,net consumption,Europe,1994,363.556,billion kWh
India,net consumption,Asia & Oceania,1994,297.98,billion kWh
United Kingdom,net consumption,Europe,1994,287.214,billion kWh
Brazil,net consumption,Central & South America,1994,247.990752,billion kWh
Italy,net consumption,Europe,1994,236.957,billion kWh
South Korea,net consumption,Asia & Oceania,1994,163.29574,billion kWh
Mexico,net consumption,North America,1994,120.955,billion kWh
Saudi Arabia,net consumption,Middle East,1994,85.163,billion kWh
Iran,net consumption,Middle East,1994,65.533,billion kWh
United States,net consumption,North America,1993,3000.747608,billion kWh
Japan,net consumption,Asia & Oceania,1993,813.417,billion kWh
Russia,net consumption,Eurasia,1993,807.823,billion kWh
China,net consumption,Asia & Oceania,1993,738.807,billion kWh
Germany,net consumption,Europe,1993,477.208,billion kWh
Canada,net consumption,North America,1993,455.060803,billion kWh
France,net consumption,Europe,1993,356.08,billion kWh
United Kingdom,net consumption,Europe,1993,293.93,billion kWh
India,net consumption,Asia & Oceania,1993,275.674877,billion kWh
Brazil,net consumption,Central & South America,1993,239.094122,billion kWh
Italy,net consumption,Europe,1993,229.536,billion kWh
South Korea,net consumption,Asia & Oceania,1993,126.06542,billion kWh
Mexico,net consumption,North America,1993,112.418312,billion kWh
Saudi Arabia,net consumption,Middle East,1993,75.432,billion kWh
Iran,net consumption,Middle East,1993,62.051,billion kWh
United States,net consumption,North America,1992,2897.24991,billion kWh
Russia,net consumption,Eurasia,1992,864.351,billion kWh
Japan,net consumption,Asia & Oceania,1992,805.674,billion kWh
China,net consumption,Asia & Oceania,1992,666.142,billion kWh
Germany,net consumption,Europe,1992,485.685,billion kWh
Canada,net consumption,North America,1992,444.724821,billion kWh
France,net consumption,Europe,1992,355.1608,billion kWh
United Kingdom,net consumption,Europe,1992,292.523,billion kWh
India,net consumption,Asia & Oceania,1992,255.687,billion kWh
Italy,net consumption,Europe,1992,229.821,billion kWh
Brazil,net consumption,Central & South America,1992,228.10914,billion kWh
South Korea,net consumption,Asia & Oceania,1992,118.985,billion kWh
Mexico,net consumption,North America,1992,108.144,billion kWh
Saudi Arabia,net consumption,Middle East,1992,67.819,billion kWh
Iran,net consumption,Middle East,1992,59.171,billion kWh
United States,net consumption,North America,1991,2886.099524,billion kWh
Japan,net consumption,Asia & Oceania,1991,797.667,billion kWh
China,net consumption,Asia & Oceania,1991,597.204,billion kWh
Germany,net consumption,Europe,1991,491.098,billion kWh
Canada,net consumption,North America,1991,439.87071,billion kWh
France,net consumption,Europe,1991,345.386,billion kWh
United Kingdom,net consumption,Europe,1991,291.603,billion kWh
India,net consumption,Asia & Oceania,1991,240.203,billion kWh
Italy,net consumption,Europe,1991,224.429,billion kWh
Brazil,net consumption,Central & South America,1991,222.44502,billion kWh
South Korea,net consumption,Asia & Oceania,1991,107.473,billion kWh
Mexico,net consumption,North America,1991,104.712,billion kWh
Saudi Arabia,net consumption,Middle East,1991,64.338,billion kWh
Iran,net consumption,Middle East,1991,53.871,billion kWh
Russia,net consumption,Eurasia,1991,0.0,billion kWh
United States,net consumption,North America,1990,2837.118809,billion kWh
Japan,net consumption,Asia & Oceania,1990,772.584,billion kWh
China,net consumption,Asia & Oceania,1990,549.342,billion kWh
Canada,net consumption,North America,1990,433.827893,billion kWh
France,net consumption,Europe,1990,323.043,billion kWh
United Kingdom,net consumption,Europe,1990,284.384,billion kWh
India,net consumption,Asia & Oceania,1990,219.879,billion kWh
Italy,net consumption,Europe,1990,219.007,billion kWh
Brazil,net consumption,Central & South America,1990,212.64456,billion kWh
Mexico,net consumption,North America,1990,100.471,billion kWh
South Korea,net consumption,Asia & Oceania,1990,94.492,billion kWh
Saudi Arabia,net consumption,Middle East,1990,60.914,billion kWh
Iran,net consumption,Middle East,1990,49.792,billion kWh
Russia,net consumption,Eurasia,1990,0.0,billion kWh
Germany,net consumption,Europe,1990,0.0,billion kWh
United States,net consumption,North America,1989,2755.66608,billion kWh
Japan,net consumption,Asia & Oceania,1989,731.602,billion kWh
China,net consumption,Asia & Oceania,1989,498.708,billion kWh
Canada,net consumption,North America,1989,434.632367,billion kWh
France,net consumption,Europe,1989,316.531,billion kWh
United Kingdom,net consumption,Europe,1989,282.231,billion kWh
