period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
2012-10,TX,Texas,RES,residential,9870427.0,11.16,1139.95117,10215.87513,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2012-11,TX,Texas,RES,residential,9825610.0,11.11,946.83553,8519.96849,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2012-12,TX,Texas,RES,residential,9843432.0,10.99,1052.99484,9581.71762,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2013-01,TX,Texas,RES,residential,9909050.0,10.84,1308.94187,12077.73677,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2013-02,TX,Texas,RES,residential,9851200.0,11.05,1015.17706,9185.4979,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2013-03,TX,Texas,RES,residential,9886760.0,11.03,1000.99272,9077.84071,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2013-04,TX,Texas,RES,residential,9948659.0,11.43,979.75734,8572.43707,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2013-05,TX,Texas,RES,residential,9958681.0,11.57,1109.80114,9588.19956,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2013-06,TX,Texas,RES,residential,9931425.0,11.44,1549.1614,13539.86259,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2013-07,TX,Texas,RES,residential,9993521.0,11.41,1788.04813,15670.16328,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2013-08,TX,Texas,RES,residential,10029833.0,11.45,1883.66268,16446.01833,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2013-09,TX,Texas,RES,residential,9991128.0,11.36,1681.34683,14795.35498,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2013-10,TX,Texas,RES,residential,10030619.0,11.68,1276.58516,10925.08679,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2013-11,TX,Texas,RES,residential,9933251.0,11.67,990.84984,8493.28681,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2013-12,TX,Texas,RES,residential,9987357.0,11.27,1341.81202,11901.12226,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2014-01,TX,Texas,RES,residential,10096367.0,11.22,1523.54124,13580.93622,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2014-02,TX,Texas,RES,residential,10082939.0,11.25,1327.50362,11797.37397,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2014-03,TX,Texas,RES,residential,10134020.0,11.75,1152.80619,9811.56776,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2014-04,TX,Texas,RES,residential,10094064.0,12.06,988.96541,8199.58641,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2014-05,TX,Texas,RES,residential,10102754.0,11.93,1114.80347,9345.75633,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2014-06,TX,Texas,RES,residential,10077384.0,12.17,1564.81619,12861.13669,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2014-07,TX,Texas,RES,residential,10163359.0,12.05,1817.43769,15087.20827,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2014-08,TX,Texas,RES,residential,10183263.0,12.05,1876.93081,15573.03539,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2014-09,TX,Texas,RES,residential,10200643.0,12.03,1762.43052,14647.86555,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2014-10,TX,Texas,RES,residential,10216731.0,12.07,1325.72614,10981.72343,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2014-11,TX,Texas,RES,residential,10099159.0,11.98,1056.19251,8813.12895,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2014-12,TX,Texas,RES,residential,10215771.0,11.81,1204.66357,10200.42502,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2015-01,TX,Texas,RES,residential,10236358.0,11.49,1521.44112,13243.86011,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2015-02,TX,Texas,RES,residential,10222635.0,11.62,1276.48382,10984.75318,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2015-03,TX,Texas,RES,residential,10292791.0,11.56,1286.07943,11122.51458,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2015-04,TX,Texas,RES,residential,10302930.0,12.1,1031.85403,8528.28087,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2015-05,TX,Texas,RES,residential,10288519.0,12.04,1146.28835,9523.39753,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2015-06,TX,Texas,RES,residential,10347811.0,11.78,1530.59116,12990.15865,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2015-07,TX,Texas,RES,residential,10343501.0,11.5,1920.72542,16701.29352,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2015-08,TX,Texas,RES,residential,10369597.0,11.43,1988.60137,17396.11059,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2015-09,TX,Texas,RES,residential,10351037.0,11.51,1729.97267,15031.7611,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2015-10,TX,Texas,RES,residential,10387765.0,11.35,1324.545,11673.44023,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2015-11,TX,Texas,RES,residential,10303085.0,11.38,955.27107,8391.00308,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2015-12,TX,Texas,RES,residential,10369964.0,11.19,1126.58093,10065.33957,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2016-01,TX,Texas,RES,residential,10415500.0,10.88,1315.48868,12089.40158,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2016-02,TX,Texas,RES,residential,10487116.0,10.99,1138.74774,10363.05456,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2016-03,TX,Texas,RES,residential,10500894.0,11.19,978.24446,8743.34671,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2016-04,TX,Texas,RES,residential,10491523.0,11.26,955.16795,8486.35561,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2016-05,TX,Texas,RES,residential,10520385.0,11.1,1105.54017,9964.08107,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2016-06,TX,Texas,RES,residential,10529597.0,10.95,1499.84133,13698.76023,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2016-07,TX,Texas,RES,residential,10491047.0,10.83,1907.83611,17614.42456,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2016-08,TX,Texas,RES,residential,10578202.0,10.91,1931.33811,17705.20849,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2016-09,TX,Texas,RES,residential,10556814.0,11.11,1712.85537,15412.97716,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2016-10,TX,Texas,RES,residential,10593131.0,11.02,1338.26929,12149.4432,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2016-11,TX,Texas,RES,residential,10528626.0,11.1,1021.55438,9207.04661,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2016-12,TX,Texas,RES,residential,10567938.0,10.85,1143.4349,10539.08117,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2017-01,TX,Texas,RES,residential,10736711.0,10.74,1282.76572,11943.94789,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2017-02,TX,Texas,RES,residential,10671415.0,11.16,1004.71702,9005.66829,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2017-03,TX,Texas,RES,residential,10795636.0,11.12,996.9822,8964.72909,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2017-04,TX,Texas,RES,residential,10717328.0,11.09,999.46151,9013.56723,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2017-05,TX,Texas,RES,residential,10855798.0,11.05,1182.29979,10703.46631,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2017-06,TX,Texas,RES,residential,10845046.0,11.03,1556.30066,14106.72486,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2017-07,TX,Texas,RES,residential,10804116.0,10.87,1836.26279,16887.29872,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2017-08,TX,Texas,RES,residential,10882647.0,10.95,1882.30543,17184.47834,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2017-09,TX,Texas,RES,residential,10821001.0,11.12,1599.1248,14378.61066,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2017-10,TX,Texas,RES,residential,10902252.0,11.09,1363.94413,12300.93776,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2017-11,TX,Texas,RES,residential,10849463.0,11.23,1025.72718,9133.56157,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2017-12,TX,Texas,RES,residential,10832439.0,10.89,1156.4766,10619.14031,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2018-01,TX,Texas,RES,residential,11046027.0,10.63,1638.00755,15416.27001,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2018-02,TX,Texas,RES,residential,11071113.0,10.87,1264.72678,11633.36037,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2018-03,TX,Texas,RES,residential,11139488.0,11.35,1064.83824,9378.99889,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2018-04,TX,Texas,RES,residential,11122835.0,11.39,1012.37107,8892.01147,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2018-05,TX,Texas,RES,residential,11146949.0,11.36,1288.21096,11342.96179,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2018-06,TX,Texas,RES,residential,11172393.0,11.2,1828.09399,16326.57154,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2018-07,TX,Texas,RES,residential,11159849.0,11.09,1975.18629,17815.67026,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2018-08,TX,Texas,RES,residential,11227623.0,11.27,2038.68647,18089.03879,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2018-09,TX,Texas,RES,residential,11143744.0,11.39,1747.95478,15340.24396,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2018-10,TX,Texas,RES,residential,11247799.0,11.5,1389.98169,12088.30176,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2018-11,TX,Texas,RES,residential,11137493.0,11.6,1122.62428,9676.2562,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2018-12,TX,Texas,RES,residential,11170064.0,11.0,1238.9494,11268.22797,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-01,TX,Texas,RES,residential,11336197.0,11.44,1454.27141,12710.28426,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-02,TX,Texas,RES,residential,11310225.0,11.6,1273.96217,10978.5171,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-03,TX,Texas,RES,residential,11364383.0,11.6,1230.54708,10607.23288,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-04,TX,Texas,RES,residential,11352760.0,12.0,1050.38173,8754.02582,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-05,TX,Texas,RES,residential,11330227.0,12.01,1308.77974,10893.88181,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-06,TX,Texas,RES,residential,11327570.0,11.8,1683.25714,14262.68443,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-07,TX,Texas,RES,residential,11364111.0,11.71,2001.77218,17095.74234,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-08,TX,Texas,RES,residential,11415487.0,11.76,2172.33116,18477.63055,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-09,TX,Texas,RES,residential,11399076.0,11.81,2022.25607,17124.24663,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-10,TX,Texas,RES,residential,11461778.0,11.81,1630.04067,13807.1443,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-11,TX,Texas,RES,residential,11331758.0,11.99,1174.15128,9793.11653,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2019-12,TX,Texas,RES,residential,11406049.0,11.71,1285.23997,10976.83537,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2020-01,TX,Texas,RES,residential,11253310.0,11.46,1313.70253,11461.89075,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2020-02,TX,Texas,RES,residential,11380770.0,11.72,1291.7541,11022.8364,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2020-03,TX,Texas,RES,residential,11480995.0,11.81,1195.76322,10123.26747,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2020-04,TX,Texas,RES,residential,11474456.0,12.04,1185.21162,9844.39843,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2020-05,TX,Texas,RES,residential,11464324.0,11.79,1384.19076,11739.79917,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2020-06,TX,Texas,RES,residential,11565409.0,11.76,1800.98282,15309.39174,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2020-07,TX,Texas,RES,residential,11593135.0,11.59,2186.61838,18866.99806,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2020-08,TX,Texas,RES,residential,11592571.0,11.5,2167.33826,18839.82992,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2020-09,TX,Texas,RES,residential,11583459.0,11.77,1876.74541,15945.93906,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2020-10,TX,Texas,RES,residential,11610335.0,11.85,1403.85013,11842.65661,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2020-11,TX,Texas,RES,residential,11551190.0,11.93,1149.5643,9631.91816,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2020-12,TX,Texas,RES,residential,11633892.0,11.59,1366.28968,11785.89323,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2021-01,TX,Texas,RES,residential,11689816.0,11.35,1520.94102,13395.66338,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2021-02,TX,Texas,RES,residential,11336403.0,12.69,1488.10877,11722.6453,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2021-03,TX,Texas,RES,residential,11814241.0,11.7,1416.16242,12105.31328,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2021-04,TX,Texas,RES,residential,11822660.0,12.08,1114.71354,9225.57474,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2021-05,TX,Texas,RES,residential,11857169.0,12.09,1267.96549,10486.28058,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2021-06,TX,Texas,RES,residential,11997731.0,12.04,1730.99894,14379.21688,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2021-07,TX,Texas,RES,residential,12021319.0,11.73,2021.77708,17237.46788,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2021-08,TX,Texas,RES,residential,12096865.0,11.94,2159.02939,18079.31742,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2021-09,TX,Texas,RES,residential,12075096.0,12.26,2032.94439,16581.73689,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2021-10,TX,Texas,RES,residential,11713063.0,12.54,1533.97818,12235.32234,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2021-11,TX,Texas,RES,residential,11589461.0,12.78,1200.56351,9391.56967,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2021-12,TX,Texas,RES,residential,11769117.0,12.56,1285.11693,10235.02762,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2022-01,TX,Texas,RES,residential,11924599.0,12.45,1647.15733,13227.84966,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2022-02,TX,Texas,RES,residential,12145008.0,12.48,1642.55789,13162.48579,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2022-03,TX,Texas,RES,residential,12010521.0,13.01,1498.72395,11516.68818,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2022-04,TX,Texas,RES,residential,11996708.0,13.29,1346.42561,10133.09082,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2022-05,TX,Texas,RES,residential,12030297.0,13.34,1792.56569,13439.90599,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2022-06,TX,Texas,RES,residential,12025116.0,13.49,2381.73149,17653.23722,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2022-07,TX,Texas,RES,residential,12052926.0,13.71,2844.55318,20742.40778,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2022-08,TX,Texas,RES,residential,12111359.0,14.12,2795.0176,19798.8313,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2022-09,TX,Texas,RES,residential,12098477.0,14.75,2359.24254,15999.69242,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2022-10,TX,Texas,RES,residential,12116332.0,14.94,1798.19569,12038.37318,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2022-11,TX,Texas,RES,residential,12138603.0,15.01,1538.43303,10252.12475,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2022-12,TX,Texas,RES,residential,12107704.0,14.49,1830.07688,12631.77294,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-01,TX,Texas,RES,residential,12015086.0,14.19,1808.04898,12746.20892,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-02,TX,Texas,RES,residential,12045582.0,14.64,1675.35033,11442.16375,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-03,TX,Texas,RES,residential,12071802.0,14.45,1494.66725,10342.7294,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-04,TX,Texas,RES,residential,12009663.0,14.19,1333.19348,9392.75818,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-05,TX,Texas,RES,residential,12090665.0,14.51,1635.53218,11274.63844,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,TX,Texas,RES,residential,12140517.0,14.21,2228.42183,15678.41939,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-07,TX,Texas,RES,residential,12153571.0,13.8,2789.46794,20218.71268,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-08,TX,Texas,RES,residential,12202112.0,14.01,3107.67624,22179.76527,number of customers,cents per kilowatthour,million dollars,million kilowatthours
